Diyarbakır;(3. Yarış Günü);02/05/2026
1. Kosu :   21.00;ŞARTLI 3/DHT; 4 ve Yukarı Araplar; 58.00kg; 59.00 kg; 1200m; Kum;;;;Rekor Derece :1.19.83
İkramiye;;;;;Yetiştirici Primi;;;;
1.)280.000 TL;2.)112.000 TL;3.)56.000 TL;4.)28.000 TL;5.)14.000 TL;1.)50.400 TL;2.)20.160 TL;3.)10.080 TL;4.)5.040 TL;5.)2.520 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;OĞLUMBENİM KG DB SK;8y a  a;UÇANBEY;MATRAKIZI;56 +1.00;Y.CENGİZ;İRFAN KARAKEÇİ;Z.AKDEMİR;10;%12.36(4);70;1:24.78;7,75;6,5 Boy
2;GAYECAN SKG SK;6y k k;TÜMÖZ BEY;BUDAPEŞTELİ;56 +2.00;M.IŞIK;AHMET TEKİN;B.DEMİRKAPU;2;%4.17(8);70;1:25.84;21,10;1 Boy
3;YALNIZ BABA DB SK;5y a  a;SAKARBAŞI;KIMIZ;56 +2.00;İ.KATAR;MEHMET NURULLAH KARAKEÇİLİ;M.A.SUBAY;11 - DS;%3.13(9);64;1:25.99;24,25;Yarım Boy
4;DUMRUL KG DB SK;9y k  a;ŞİMŞEĞİNOĞLU;ŞİPAL;55 +2.00;A.ÇANKAYA AP;BİŞAR DEMİRKAPU;B.DEMİRKAPU;7;%23.52(1);79;1:26.07;1,90;3,5 Boy
5;PRENSES DİLARA KG K;6y k k;BERKCAN;TOŞURKIZI;56 +1.60;L.TAPTIK AP;FAİK AY;M.ASLAN;12 - DS;%9.06(5);74;1:26.67;5,60;
6;ÖZARAS SKG SK;6y k  a;ARASLI;SERENKIZ;59;N.ALTIN;SELİM DEMİRKAPU;B.DEMİRKAPU;9;%6.01(6);63;1:27.37;21,35;
7;BÜYÜK DAĞ KG K DB;5y a  a;KAYAYÜREKLİ;SERAPGİBİ;56 +0.10;A.H.BAYAR;MÜSLÜM ŞEKER;RES.KAYA;5;%2.83(11);53;1:27.52;18,65;
8;SON AKSİYON KG K DB;5y a  a;GÖĞEBAKAN;ŞİMALYILDIZI;56 +0.40;S.KAPLAN;ABDULLAH ÇERMAN;S.KARAKEÇİLİ;8;%3(10);56;1:29.27;23,35;
9;ÇELİK SEMEND DB SKG SK;5y a  a;SEMEND;SOYDAN;57;A.AKDEMİR;FUAT ŞİMŞEK;İ.ATMACA;3;%15.54(2);66;1:30.20;6,80;
