İzmir;(6. Yarış Günü);02/05/2026
1. Kosu :   16.15;Maiden/Dişi; 3 Yaşlı İngilizler; 58.00kg; 1900m; Kum;;;;Rekor Derece :1.58.31
İkramiye;;;;;Yetiştirici Primi;;;;
1.)545.000 TL;2.)218.000 TL;3.)109.000 TL;4.)54.500 TL;5.)27.250 TL;1.)130.800 TL;2.)52.320 TL;3.)26.160 TL;4.)13.080 TL;5.)6.540 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;FREYDIS KG K DB;3y d  d;MYBOYCHARLIE (IRE);MADE IN FOÇA;58;M.M.BİLGİN;GÜLNUR GÜLERCE;M.YAYAN;12;%39.71(1);18;2:07.70;1,75;Boyun
2;LADY MELIAN K ÖG;3y d  d;KANEKO;AUTARCIE (GB);58;B.M.MIRIK;BARIŞ YAKUT;H.KURT;5;%19.49(2);28;2:07.74;4,10;1 Boy
3;ZENITH SKY KG DB SK;3y d  d;CRIMEAN TATAR;MARILU (GER);55;Ö.F.ÖZEN AP;NÜKTE ÇANDIR;A.GÜMÜŞ;4;%4.88(6);10;2:07.90;17,90;6,5 Boy
4;CASHOUT DB SK;3y a  d;PAPA CLEM (USA);ÇİĞDEMİN RÜZGARI;60;S.AKŞIN AP;MEHMET MELİH GÖÇER;SEY.GÖKÇE;9;%11.2(4);33;2:09.00;7,30;6 Boy
5;ROYAL CIPHER K DB;3y d  d;EUPRHATES (USA);BAHTIYARLI;54;Y.GÖKÇE AP;AHMET GÜZELOCAK;T.VATANSEVER;3;%5.92(5);;2:10.03;8,20;
6;ALTYN ORDA KG DB SK;3y d  d;KANEKO;AL MAS (FR);60;E.AKTUĞ;DUYGU FATURA;Z.KURT;7;%14.92(3);33;2:11.09;3,60;
7;DATÇA RÜZGARI DB SK;3y d  d;ULAN BATOR;BERİVAN;54 +0.20;M.TEKPETEK AP;ENDER COŞGUNSU;L.ÖZMERGEN;11;%0.84(9);11;2:12.47;57,35;
8;PARSALI MİRAY KG K;3y d  d;GENERAL QUARTERS (USA);SNOW HOUND;54;M.B.ÖNCEL AP;MUSTAFA KOCATÜRK;M.KURDU;6;%0.88(7);8;2:17.37;30,95;
9;GİZEMLİ DAMLA KG K;3y d  d;KANEKO;UNTIMELY;58 +0.10;U.İRTİŞ AP;ZEYNEP CEYLAN;H.KURT;10;%0.87(8);;2:22.63;55,55;
10;İLK HEYECAN SK;3y d  d;MYBOYCHARLIE (IRE);İDİL;54;Ç.TAŞCI AP;HASİBE ÇOLAK CURA;O.TAŞDEMİR;8;%0.71(10);18;2:24.77;38,05;
11;SHADOW STYLE K DB (Koşmaz);3y d  d;INVINCIBLE SON (IRE);UNIQUE STYLE;54;M.M.KARABULUT AP;DENİZ KURTEL;B.GÜL;1;%0.22(12);26;Koşmaz;;
12;SPECIAL STAR DB SK (Koşmaz);3y d  d;LUXOR;ASTARMA;58;G.ÖZÇELİK;BİRCAN AKGÜN;ŞYD.GÜMÜŞ;2;%0.35(11);20;Koşmaz;;
GANYAN(4) :1,75 TL, İKİLİ(4/7) :4,75 TL, SIRALI İKİLİ(4/7) :7,45 TL

2. Kosu :   16.45;ŞARTLI 4/DHT; 4 Yaşlı Araplar; 58.00kg; 1900m; Kum;;;;Rekor Derece :2.10.52
İkramiye;;;;;Yetiştirici Primi;;;;
1.)490.000 TL;2.)196.000 TL;3.)98.000 TL;4.)49.000 TL;5.)24.500 TL;1.)88.200 TL;2.)35.280 TL;3.)17.640 TL;4.)8.820 TL;5.)4.410 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;SERİNTEPE KG DB SK;4y k  a;YAVUZBEY;SU GAZELİ;51 +1.90;Y.GÖKÇE AP;BÜLENT BEYAZTAŞ;S.ŞAHYAZICI;7;%22.44(2);46;2:17.91;3,85;1,5  Boy
2;CESURSOY DB SK;4y k  a;GÜRSU;YÜCELEN;58;G.ÖZÇELİK;SEMA ULAŞ;C.DEMİR;5;%27.6(1);65;2:18.19;2,55;3 Boy
3;OĞUL FATİH KG DB SK;4y d  a;AYABAKAN;SULTAN ERVA;54 +1.20;B.M.MIRIK;ABDURRAHMAN DEMİR;Y.AKBULUT;9;%11.71(3);47;2:18.71;5,40;At Başı
4;TAMERKIZ SK;4y k k;TAMERİNOĞLU;AYBENKIZ;51 +0.10;B.BÜLBÜL AP;İBRAHİM TAMER;M.TAMER;2;%2.3(9);37;2:18.71;23,05;1 Boy
5;EGE KARTALI KG DB SK;4y a  a;UÇANBEY;FİRDEVS HANIM;53 +0.70;Ö.F.ÖZEN AP;ELVAN KORKMAZ;M.TAMER;12;%1.61(12);37;2:18.88;45,50;
6;DEMİRNAL KG DB SK;4y a  a;FİRİKYA;ARŞİV;55 +0.80;M.KEÇECİ AP;ERDAL DAĞIDIR;H.DURMUŞ;14;%7.77(4);40;2:19.91;6,65;
7;DATCA DB SKG SK;4y a  a;SERDÜMEN;ESMELTEM;56;U.İRTİŞ AP;YILDIRIM AYDOĞDİ;H.KURT;6;%3.95(7);31;2:20.69;15,60;
8;TAM YOL KG K;4y a k;SERDÜMEN;BAMBİNO GIRL;54 +1.50;A.MEH.ALTIN AP;FUAT OCAKOĞLU;Ş.ÖZDENİZ;13;%7.42(5);37;2:22.80;7,05;
9;JINIRAL DB SKG SK;4y a  a;GELİBOLU;MELDAN;54 +0.60;M.M.KARABULUT AP;M.ÖMER NAUSHAD MA;S.C.GÖZÜNGÜ;10;%2.33(8);36;2:23.37;28,25;
10;DİLBERHATUN KG DB SK GKR ÖG;4y d k;HIZLITAY;BENLİDİLBER;54 +2.00;H.ŞİMŞEK;AKIN UYSAL;M.KARACA;3;%1.18(13);37;2:24.28;32,50;
11;AKSELBEYİM KG DB;4y a  a;KURTEL;YILDIZ KÖŞKÜ;54;S.AKŞIN AP;MUSTAFA KOCATÜRK;M.KURDU;11;%2.07(10);36;2:27.45;31,70;
12;LOTUS EMİNE K DB;4y k k;SERDÜMEN;MİRA MİRA;56 +0.50;A.KÜRÜNDÜK;HAYRİ YILDIZ;V.ÖNDER;4;%7.29(6);38;2:53.26;14,70;
13;MAVİGÖZ KG SK;4y k k;HİSARBEY;PETEKTEN;53 +1.70;E.AKTUĞ;UFUK KURTLAR;S.YUDUM;1;%2(11);31;Derecesiz;14,90;
14;GÖKHİSAR KG K DB (Koşmaz);4y a k;ODİNHAN;AKÇA;56;A.İNCİ;MEHMET BİRDEN;S.C.GÖZÜNGÜ;8;%0.34(14);37;Koşmaz;;
GANYAN(4) :3,85 TL, İKİLİ(1/4) :6,65 TL, SIRALI İKİLİ(4/1) :12,50 TL, PLASE(1) :1,05 TL, PLASE(4) :1,05 TL, PLASE İKİLİ(1/4) :3,70 TL, PLASE İKİLİ(1/6) :6,90 TL, PLASE İKİLİ(1/7) :20,10 TL, PLASE İKİLİ(4/6) :6,00 TL, PLASE İKİLİ(4/7) :16,50 TL, SIRALI 5 Lİ BAHİS(4/1/6/7/5) :3.733,37 TL, SIRALI 5 Lİ BAHİS(4/1/7/6/5) :11.197,62 TL, TABELA BAHİS(4/1/6/7) :445,65 TL, TABELA BAHİS(4/1/7/6) :699,45 TL, TABELA BAHİS SIRASIZ(4/1/6/7) :37,35 TL Çıkan 1 Atla: 18,67 TL, 1. ÇİFTE(4/4) :7,10 TL

3. Kosu :   17.15;Maiden/Dişi; 3 Yaşlı İngilizler; 58.00kg; 1900m; Kum;;;;Rekor Derece :1.58.31
İkramiye;;;;;Yetiştirici Primi;;;;
1.)545.000 TL;2.)218.000 TL;3.)109.000 TL;4.)54.500 TL;5.)27.250 TL;1.)130.800 TL;2.)52.320 TL;3.)26.160 TL;4.)13.080 TL;5.)6.540 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;QUEEN TUANA KG K;3y d  d;TIZWAY (USA);LADY HAWANA;54;Y.GÖKÇE AP;ÇAĞDAŞ ÖZ;M.A.PAKEL;10 - DS;%16.51(3);29;2:07.53;5,60;1 Boy
2;NURBADEM K DB SK;3y d  d;MYBOYCHARLIE (IRE);MEIN TRAUN;58;T.YILDIZ;NURBİYE GÜLERCE;M.YAYAN;4;%24.13(2);29;2:07.66;3,15;1 Boy
3;POP ART KG K;3y a  d;VOODOO SONG (USA);LATIFA TWO;54;B.BÜLBÜL AP;DENİZ HASAN KAYNAR;MUR.AKSOY;7;%9.99(4);26;2:07.78;5,75;5 Boy
4;BLUE STRAWBERRY DB SKG SK;3y d  d;KISS OF STEPS;MAVİ KIVILCIM;54 +0.20;S.AKŞIN AP;FAHRİ TAŞDEMİR;N.GÖNÜLTAŞ;3;%5.43(7);31;2:08.66;10,85;3 Boy
5;NOOR IRON KG K DB;3y d  d;BLAZE TO WIN;SEA STORM;60;E.AKTUĞ;SUAT EROL;M.KARACA;8;%6.59(5);31;2:09.05;12,35;
