Adana;(4. Yarış Günü);10/05/2026
1. Kosu :  DEMİRKIR KOŞUSU 17.15;ŞARTLI 1/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1100m; Kum;;;;Rekor Derece :1.16.03
İkramiye;;;;;Yetiştirici Primi;;;;
1.)685.000 TL;2.)274.000 TL;3.)137.000 TL;4.)68.500 TL;5.)34.250 TL;1.)205.500 TL;2.)82.200 TL;3.)41.100 TL;4.)20.550 TL;5.)10.275 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;MY EAGLE KG K;3y a  e;GELİBOLU;UÇAN ŞİMŞEK;57 +0.20;A.AKDEMİR;MEHMET KARATOPRAK;Y.UÇAR;11;%5.77(7);;1:17.67;19,15;3,5 Boy
2;BALLIBİKE K DB;3y k  d;KAYAYÜREKLİ;BEYAZ KELEBEK;55 +0.60;N.DEMİR;NAGİHAN TOKMAK;RES.KAYA;2;%2.71(10);;1:18.38;33,95;1 Boy
3;ALARASİ K;3y a  e;SERHANTAY;KİRAZKIZI;57;M.E.DOĞAN;N.CEHDİ ADVAN;MAHMUT DOĞAN;5;%23.37(1);;1:18.54;3,90;1,5  Boy
4;İSKENDER HAN KG SK;3y k  e;GELİBOLU;DEMRECAN;57;M.A.SOLMAZ;HÜSEYİN KIRBAŞ;S.SÜSLÜ;4;%15.26(3);;1:18.83;2,40;Burun
5;YURTÇU KG K;3y a  e;AYABAKAN;İKLİMSİZ;57;F.S.M.SANSAR;MUSTAFA KAPLAN;S.POLAT;7;%11.96(4);;1:18.84;7,95;
6;AKÇALIKIZ KG SK;3y a  d;ÖZGÜNHAN;YAŞIN TAY;55 +0.20;E.ÇİZİK;MEHMET ÇELİK;M.DAŞ;3;%17.21(2);;1:19.74;5,30;
7;KIZIM ERVA SK;3y a  d;ARASLI;ELASAY;55 +0.90;M.A.AKGÖBEK AP;İRFAN TÜRKMAN;S.KARAKEÇİLİ;8;%8.63(5);;1:21.09;10,25;
8;BEŞİRHAT KG SK;3y k  e;GÜLBEŞİR;ATEŞHATTI;57 +0.10;F.ÇETİNBAŞ;TUBA KAYA;RAM. KAYA;1;%3.37(8);;1:23.39;10,95;
9;MERTOLTAY SK;3y k  e;FİRİKYA;RÜYA SULTAN;57;İ.AKYAVUZ;SEMA ULAŞ;N.ŞİMŞEK;10;%7.56(6);;1:24.17;7,35;
10;ASUMAN ABLA KG K;3y k  d;TEK YÜREK;SERAPGİBİ;55 +0.50;U.TEMUR;CİHAN OKTAY;RAM. KAYA;6;%1.2(11);;1:24.72;26,50;
11;TÜMERK SK;3y k  e;KURTÇABEY;ZEUGMA;57;M.N.SUNKAR;CELAL AKIL;H.ÇALI;9;%2.96(9);;1:24.88;16,95;
GANYAN(5) :19,15 TL, İKİLİ(5/10) :150,20 TL, SIRALI İKİLİ(5/10) :338,45 TL

2. Kosu :   17.45;ŞARTLI 4/DHÖW; 4 Yaşlı Araplar; 58.00kg; 1500m; Kum;;;;Rekor Derece :1.42.01
İkramiye;;;;;Yetiştirici Primi;;;;
1.)490.000 TL;2.)196.000 TL;3.)98.000 TL;4.)49.000 TL;5.)24.500 TL;1.)88.200 TL;2.)35.280 TL;3.)17.640 TL;4.)8.820 TL;5.)4.410 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;NACARLI KG K;4y k  a;CANBERKTAY;SUNABOYLUM;54;M.A.SOLMAZ;DOĞAN IRMAK;S.SÜSLÜ;4;%25.74(1);78;1:45.68;2,70;4 Boy
2;KESKİN KUŞ DB SK;4y d k;ÖZDURAN;EFSUNKAR;56;E.ÇİZİK;HAKAN ÇELİK;H.ÇELİK;8;%25.41(2);84;1:46.38;2,10;3 Boy
3;YUSUF KAPTAN KG DB SK;4y a  a;ALTINCI HİS;KAFKASLIDEVRANI;58;N.ALTIN;MEHMET AKYILDIRIM;Y.BAYSAL;9;%7.98(4);66;1:46.84;5,20;1,5  Boy
4;FERAT KG DB SK;4y k  a;KURUŞAĞA;KUZGUN;58;M.N.SUNKAR;FİDAN GÜVEN ;M.GÜNEŞ;1;%2.23(7);39;1:47.04;41,90;2,5 Boy
5;BEŞİR ÇAVUŞ KG DB SK;4y k  a;GÜMBÜRGÜMBÜR;CAŞPERİ;58 +0.20;M.A.AKGÖBEK AP;BEŞİR KAYA;RAM. KAYA;7;%24.16(3);75;1:47.43;4,60;
6;BAY ARAZ KG DB;4y a  a;TÜMÖZ BEY;GÜZ GÜZELİ;55;F.S.M.SANSAR;CUMHUR BALKAROĞLU;E.YILDIRIM;6;%4.36(6);41;1:47.50;16,30;
7;GÜMBÜRBERK KG SK;4y k k;GÜMBÜRGÜMBÜR;TEKTAHA;56 +2.00;N.DEMİR;ERCAN POLAT;S.POLAT;3;%7.23(5);61;1:52.51;8,75;
8;SUSUZKURT KG DB SK;4y a  a;AKARÇAY;CANARİFE;52;M.AKDAĞ AP;ALİ KARAOĞLAN;MAHMUT DOĞAN;5;%0.32(9);37;1:57.31;52,15;
9;NUR KADER KG K;4y a k;SEMEND;DİDARHANIM;53;M.KIYAK AP;MİTHAT KATI;M.TEK;2;%0.6(8);36;1:59.26;44,75;
10;KARA AYHAN K DB (Koşmaz);4y a  a;GÜMBÜRGÜMBÜR;KARAGÜL;57;ER.CANKILIÇ AP;BEŞİR KAYA;A.DİNÇ;10;%1.97(10);70;Koşmaz;;
[(1)BEŞİR ÇAVUŞ,(5)KARA AYHAN,] eküridir.GANYAN(8) :2,70 TL, İKİLİ(6/8) :3,95 TL, SIRALI İKİLİ(8/6) :8,70 TL, ÜÇLÜ BAHİS(8/6/3) :120,80 TL Çıkan 1 Atla: 7,90 TL, PLASE(6) :1,05 TL, PLASE(8) :1,05 TL, PLASE İKİLİ(3/6) :6,00 TL, PLASE İKİLİ(3/8) :17,20 TL, PLASE İKİLİ(6/8) :3,90 TL, 1. ÇİFTE(5/8) :62,10 TL

3. Kosu :  DEMİRKIR KOŞUSU 18.30;ŞARTLI 1/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1100m; Kum;;;;Rekor Derece :1.16.03
İkramiye;;;;;Yetiştirici Primi;;;;
1.)685.000 TL;2.)274.000 TL;3.)137.000 TL;4.)68.500 TL;5.)34.250 TL;1.)205.500 TL;2.)82.200 TL;3.)41.100 TL;4.)20.550 TL;5.)10.275 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;UYGURTAŞ KG SK;3y a  e;ATEŞTOPU;SEVDANUR;57;ER.CANKILIÇ AP;A.HAKKI TÜRKMEN;MEHM.KAYA;10;%19.79(2);;1:17.89;4,35;4 Boy
2;BEMBEYAZ ADAM KG K;3y k  e;CANBERKTAY;DEFNECİĞİM;57;M.A.SOLMAZ;SELİM ÖZEKİCİ;S.SÜSLÜ;2;%8.6(5);;1:18.66;8,60;1,5  Boy
3;BEGİHAN KG SK;3y a  e;YILMABAŞAR;NEDİMEM;57;E.ÇİZİK;AİT ÇELİK;M.DAŞ;4;%16.79(3);;1:18.86;4,40;Boyun
4;PİRNAZIN KIZI KG K;3y a  d;BALALAYKA;PİRNAZ;55 +0.90;İ.AKYAVUZ;ABDULKADİR TOPRAK;MAHMUT DOĞAN;6;%3.88(6);;1:18.94;12,00;6,5 Boy
5;ATEŞİZİ KG SK;3y d  e;ATEŞTOPU;İZSÜREN;57;F.S.M.SANSAR;İSHAK ŞAHİN;H.SUNKAR;8;%12.43(4);;1:20.15;5,70;
6;ORHAMAN KG K;3y k  e;UÇANOĞLU;TEKTAHA;57;N.DEMİR;ERCAN POLAT;S.POLAT;3;%2.41(8);;1:20.44;17,35;
7;KINALIKAYAM KG SK;3y a  d;GÜMBÜRGÜMBÜR;KINALI SULTAN;55 +0.70;M.A.AKGÖBEK AP;İBRAHİM KAYA;RAM. KAYA;9;%3.52(7);;1:24.29;13,10;
8;SABRİNİN KIZI KG SK;3y a  d;SABRİNİN ATI;MISS ERCİŞ;55 +1.50;İSM.YILDIRIM AP;TEVFİK CAN;Y.BAYSAL;5;%1.64(9);;1:25.06;35,60;
9;İNCESAZ KG K;3y k  d;YILMABAŞAR;BÖRTEKİZ;55 +0.50;İ.AKIN AP;MAHMUT PEKİN;M.PEKİN;7;%0.88(10);;1:26.25;36,35;
10;SERÜVENTAY KG K;3y k  e;CANBERKTAY;SER CARİYE;57 +0.10;A.AKDEMİR;İRFAN KARAKEÇİ;Z.AKDEMİR;1;%30.08(1);;1:26.87;2,15;
GANYAN(6) :4,35 TL, İKİLİ(3/6) :28,05 TL, SIRALI İKİLİ(6/3) :37,55 TL, ÜÇLÜ BAHİS(6/3/2) :236,40 TL, PLASE(3) :2,80 TL, PLASE(6) :2,20 TL, PLASE İKİLİ(2/3) :9,20 TL, PLASE İKİLİ(2/6) :8,20 TL, PLASE İKİLİ(3/6) :10,10 TL, 2. ÇİFTE(8/6) :13,35 TL

4. Kosu :   19.00;Handikap 17/DHÖW /H2; 4 ve Yukarı Araplar; kg; 1300m; Çim;;;;Rekor Derece :1.23.35
İkramiye;;;;;Yetiştirici Primi;;;;
1.)680.000 TL;2.)272.000 TL;3.)136.000 TL;4.)68.000 TL;5.)34.000 TL;1.)163.200 TL;2.)65.280 TL;3.)32.640 TL;4.)16.320 TL;5.)8.160 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;DORUKBATUR KG K;4y d  a;GÜRSU;BEYAZIT;50 +2.00;M.A.SOLMAZ;AYTUĞ ATALAY;C.DEMİR;1;%22.49(2)  %25.92(2);56;1:24.49;2,80;2 Boy
2;FIRTINAYÜREK KG DB SK;4y d  a;TEK YÜREK;HASRETKÖPRÜSÜ;56;N.DEMİR;MUSTAFA ÖZSARI;A.ÇİFTÇİ;5;%38.9(1)  %36.67(1);71;1:24.79;2,25;2 Boy
3;SALAMCI HAYRETTİN KG SK;4y d  a;DEMİRDELEN;DOSTUN KIZI;50 +2.00;M.KIYAK AP;D.DENİZ KANAR;M.GÜNEŞ;12 - DS;%6.58(4)  %6.07(4);56;1:25.07;9,45;3 Boy
4;MİRŞEŞEN KG DB SK;5y a  a;SERHANTAY;KABAHAYDARGÜZELİ;54;E.ÇİZİK;RAHİME BECENE;Y.TUNCAY;6;%3.35(7)  %3.38(7);65;1:25.48;22,00;Yarım Boy
5;MÜREKKEP YÜREK DB SK;5y a k;SAKARBAŞI;DİLAHATUN;59,5;ER.CANKILIÇ AP;MÜSLÜM BAKAY;F.BAKAY;10;%8.91(3)  %8.14(3);80;1:25.59;9,90;
6;BABA ZAMAN KG DB SK;7y a  g;SULTAN DE FAUST (FR);ATIĞ HATUN;54,5;E.TUNÇ;MÜSLÜM ŞEKER;RES.KAYA;4;%0.76(13)  %0.77(13);66;1:25.62;39,90;
7;FUNDO KG DB SK;7y a  a;GELİBOLU;ÇİSEM;58,5;İ.AKYAVUZ;ŞEYHMUS AKIN;M.TEK;13 - DS;%1.44(11)  %1.65(10);74;1:25.65;17,30;
8;ODABAŞI DB;5y k  a;YAKUPBEY;ÇILGINDENİZ;52,5 +1.60;F.S.M.SANSAR;ŞÜKRÜ POLAT;S.POLAT;3;%3.66(6)  %4.02(6);62;1:25.69;12,25;
9;DUMAN KG DB;10y k  a;TURBO;ÖNCÜKIZ;61;M.A.AKGÖBEK AP;ARKIN ARSLAN;RAM. KAYA;9;%1.23(12)  %1.37(12);83;1:25.71;32,70;
10;ÖNDER DB SKG SK;6y a  a;AYABAKAN;GÜLRUZ;54 +1.40;M.N.SUNKAR;CELAL AKIL;H.ÇALI;2;%2.92(8)  %2.7(8);65;1:26.64;19,15;
11;GÜVENAĞA K DB SKG SGKR;10y a  a;TURBO;YARDIMCIKIZI;60;İSM.YILDIRIM AP;MEHMET BECENE;MAHMUT DOĞAN;11;%2.57(9)  %2.21(9);81;1:28.31;20,60;
12;CANMERT;4y a  a;YILMABAŞAR;DERYANUR;50 +1.30;M.AKDAĞ AP;RİFAT YAVUZ;S.POLAT;8;%1.63(10)  %1.62(11);58;1:30.32;26,40;
13;ALTINENDER KG DB SK;6y a  a;ENDEREFE;ALBİNA;58;U.TEMUR;ALİ ERKAN YILMAZ;S.POLAT;7;%5.57(5)  %5.47(5);73;1:30.44;10,15;
GANYAN(13) :2,80 TL, İKİLİ(6/13) :3,55 TL, SIRALI İKİLİ(13/6) :7,70 TL, 3. ÇİFTE(6/13) :22,50 TL

5. Kosu :  DEMİRKIR KOŞUSU 19.30;ŞARTLI 1/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1100m; Kum;;;;Rekor Derece :1.16.03
İkramiye;;;;;Yetiştirici Primi;;;;
1.)685.000 TL;2.)274.000 TL;3.)137.000 TL;4.)68.500 TL;5.)34.250 TL;1.)205.500 TL;2.)82.200 TL;3.)41.100 TL;4.)20.550 TL;5.)10.275 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;SERVER BEYİM KG;3y d  e;AFRİKAANDER;KARA KİRAZ;57;M.KIYAK AP;MUSTAFA ALAK;F.DEMİR;7;%9.71(5)  %10.94(5);;1:17.75;4,85;1,5  Boy
2;TAYKUTKRAL;3y d  e;TAYKUT;NERGİS GÜLÜ;57 +0.70;B.KILINÇ;AYDIN AYDOĞDU;M.DAŞ;6;%12.41(4)  %12.76(4);;1:17.97;5,90;Yarım Boy
3;BODUBEY KG K;3y k  e;ENDEREFE;RENGİN;57;İ.AKYAVUZ;MEHMET YILDIZ;At Sahibi;9;%15.44(2)  %15.01(2);;1:18.05;4,90;3 Boy
4;MERİHİN YILDIZI KG DB SK TGK;3y a  e;TÜMÖZ BEY;HATIRSAZ;57;N.DEMİR;MEHMET UÇAR;Y.UÇAR;2;%22.84(1)  %20.77(1);;1:18.51;2,70;4,5 Boy
5;ATLAS HAN KG SK;3y k  e;MADRABAZ;SİDALCAN;57;F.ÇETİNBAŞ;M.TURAN KILIÇ;SER.CEYLAN;8;%13.95(3)  %13.61(3);;1:19.27;7,00;
