Bursa;(9. Yarış Günü);11/05/2026
1. Kosu :   13.30;Maiden/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1200m; Kum;;;;Rekor Derece :1.19.33
İkramiye;;;;;Yetiştirici Primi;;;;
1.)545.000 TL;2.)218.000 TL;3.)109.000 TL;4.)54.500 TL;5.)27.250 TL;1.)163.500 TL;2.)65.400 TL;3.)32.700 TL;4.)16.350 TL;5.)8.175 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;İNCİ PAREM KG K;3y k  d;AFRİKAANDER;BELLA;55 +0.90;A.İNCİ;CELAL KAYA;FER.ALTIN;10;%15.82(2);;1:22.96;4,20;3 Boy
2;ALAMAÇ SK;3y d  e;BABA MEVLÜT;FERAYİ;57 +0.50;O.GÖKÇE;ŞEMSETTİN TOYDEMİR;O.DEMİR;8;%48.31(1);;1:23.45;1,50;3 Boy
3;ÖNALTAY KG K;3y k  e;BABA MEVLÜT;ÖYKÜM;57 +0.40;E.ÇANKAYA;MUHANNAD DARAVSHA;FER.ALTIN;7;%8.66(4);;1:23.93;7,30;1,5  Boy
4;BALTANKIZ KG K;3y a  d;BALTACI;İZMİRLİ KIZ;54 +1.40;M.KEÇECİ AP;AHMET KARACADAĞ;CE.POLAT;4;%0.42(10);;1:24.13;43,95;8 Boy
5;ATICI KAYA KG DB SK;3y a  e;KAYAYÜREKLİ;DESTENAZ;57;M.KAYA;AHMET KAYA;M.DEMİRTAŞ;3;%13.73(3);;1:25.51;6,00;
6;STAR GIRL KG K;3y k  d;BALALAYKA;YEMEN GÜZELİ;55 +1.70;MAH.TURAN;MUHAMMED GÜNDÜZ;N.GÜNDÜZ;9;%1.67(8);;1:25.57;18,30;
7;HIZ BEYİM K DB;3y a  e;BALALAYKA;HIZKOLİK;57 +0.30;T.YILDIZ;ALİ TOYDEMİR;O.DEMİR;2;%3.44(6);;1:25.82;19,65;
8;ŞENSOY KG DB SK;3y k  e;YILMABAŞAR;SABIRTAŞI;57;A.YILDIZ;YASİN TAŞKIN;Y.TAŞKIN;5;%4.98(5);;1:26.50;12,75;
9;HİFA GÜZELİ DB SKG SK;3y a  d;BUMBAİ;TUMBUL İNCİ;52 +2.00;R.KETME AP;FERHAT ALTIN;M.TÜRKOĞLU;1;%2.07(7);;1:29.46;21,05;
10;ALKURUŞ BEYİ KG SK;3y k  e;MADRABAZ;ORGÜL;57 +0.40;O.ÖZTÜRK;MÜZEYYEN TUĞDAŞ;A.ÖCAL;6;%0.91(9);;1:31.01;34,25;
GANYAN(9) :4,20 TL, İKİLİ(1/9) :3,50 TL, SIRALI İKİLİ(9/1) :11,05 TL

2. Kosu :   14.00;Maiden/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1200m; Kum;;;;Rekor Derece :1.19.33
İkramiye;;;;;Yetiştirici Primi;;;;
1.)545.000 TL;2.)218.000 TL;3.)109.000 TL;4.)54.500 TL;5.)27.250 TL;1.)163.500 TL;2.)65.400 TL;3.)32.700 TL;4.)16.350 TL;5.)8.175 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ERBAŞKAN KG SK;3y a  e;GÜMBÜRGÜMBÜR;RIFKİYE;57;M.M.BİLGİN;ALİCAN BAYRAM;H.KURT;1;%40.05(1);;1:22.47;1,70;7 Boy
2;ERGÜNEŞ KG SK;3y d  e;SONALP;YEŞİLÇAY;57 +0.60;O.GÖKÇE;ŞEMSETTİN TOYDEMİR;O.DEMİR;2;%28.54(2);;1:23.72;2,10;9,5 Boy
3;HUDUTSUZ KG K;3y k  e;CANBERKTAY;ATİLTAY;54 +1.10;M.KEÇECİ AP;HÜSEYİN YER;S.GÜNAYDIN;6;%10.33(3);;1:25.30;9,35;Yarım Boy
4;SERTUĞ KG K;3y k  e;ENDEREFE;DEMİRÇİÇEK;57;A.YILDIZ;EVRİM TUĞDAŞ;A.ÖCAL;5;%9.45(4);;1:25.41;7,70;11 Boy
5;PAMİRALP KG K;3y k  e;BERKSOY;GÜLRUHSAR;57 +1.30;N.ŞEN;H.TARIK DİKENCİK;M.ÖZGÜL;8;%8.08(5);;1:27.21;10,10;
6;TURQUOİSE KG K;3y a  d;FATİH AĞA;RÜZGARIN İZİ;52 +0.30;Ç.TAŞCI AP;EMRAH AKYAVUZ;MUR.ALTIN;10;%0.47(8);;1:27.44;39,35;
7;FIRTINA BİÇEN KG DB SKG SK;3y d  d;DAŞTANBEY;MİRA KIZ;55 +2.00;T.ALICI;NAZMİYE ÖZŞAHİN;F.SEZER;4;%1.08(7);;1:27.91;35,15;
8;PATARA KG K;3y a  d;TURBO;MEVSİM;55;S.TIRPAN;FATMA GÜL ALTIN;M.ÖZGÜL;3;%1.69(6);;1:28.67;19,85;
9;YÜREK ŞAH KG K (Koşmaz);3y k  e;YÜREKKAYA;NURGÜLÜM;57;HAK.YILDIZ;CAVİDAN KAYA ÖZASLAN;M.DEMİRTAŞ;11;%0.03(11);;Koşmaz;;
10;YÜREKLİ ADAM KG K (Koşmaz);3y d  e;KAYAYÜREKLİ;BUKET REMOHAN;57;B.M.MIRIK;EMİNE KAYA;M.Y.YILDIRIM;7;%0.06(10);;Koşmaz;;
11;DAYANA KG K (Koşmaz);3y a  d;KAYAYÜREKLİ;ANAYA (FR);55;M.KAYA;AHMET KAYA;E.KAYA;9;%0.22(9);;Koşmaz;;
GANYAN(1) :1,70 TL, İKİLİ(1/2) :2,35 TL, SIRALI İKİLİ(1/2) :4,35 TL, ÜÇLÜ BAHİS(1/2/3) :16,30 TL Çıkan 1 Atla: 3,20 TL Çıkan 2 Atla: 3,20 TL, PLASE(1) :1,05 TL, PLASE(2) :1,05 TL, PLASE İKİLİ(1/2) :2,60 TL, PLASE İKİLİ(1/3) :4,60 TL, PLASE İKİLİ(2/3) :2,90 TL, 1. ÇİFTE(9/1) :13,00 TL

3. Kosu :   14.30;Handikap 15 /H2; 3 Yaşlı İngilizler; kg; 1900m; Kum;;;;Rekor Derece :1.57.91
