Elazığ;(10. Yarış Günü);13/05/2026
1. Kosu :   17.45;Maiden; 3 Yaşlı İngilizler; 58.00kg; 1700m; Kum;;;;Rekor Derece :1.47.45
İkramiye;;;;;Yetiştirici Primi;;;;
1.)395.000 TL;2.)158.000 TL;3.)79.000 TL;4.)39.500 TL;5.)19.750 TL;1.)94.800 TL;2.)37.920 TL;3.)18.960 TL;4.)9.480 TL;5.)4.740 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ALPERİN OĞLU KG K DB;3y d  e;MY FREEDOM;KIZIM ASUDE;58;MEH.TAŞKAYA;ALİ BAKIR;F.BAKIR;2;%15.07(4);23;2:00.26;5,45;7,5 Boy
2;BLUE COMET KG SK;3y d  e;BLUEGRASS CAT (USA);STILL DREAMING;58;İ.AKYAVUZ;MUHAMMED ALİ ÇİZİK;T.ÇİZİK;4;%15.8(3);;2:01.70;3,20;1 Boy
3;THAT BEATS ALL K DB;3y d  e;AIR VICE MARSHAL (USA);TOMESCU (AUS);60;N.ALTIN;ÖZLEM TEKİNALP;E.ALTIN;7;%28.31(1);27;2:01.87;2,80;2,5 Boy
4;ÜÇYÜREK DB SKG SK;3y d  e;BATTLEGROUND (USA);STAR QUALITY;58;M.DOĞAN;FERAT ÖZKAN;ES.YILDIRIM;12 - DS;%18.02(2);17;2:02.36;4,45;13 Boy
5;FALLING STAR DB SKG SK;3y d  d;TRAPPE SHOT (USA);BALUSHKA;56 +0.10;A.H.BAYAR;SADIK ÇETİN;H.TEKİNALP;9;%2.45(9);22;2:04.86;20,15;
6;KING OF DEEP SKG SK;3y d  e;KING OF THE SUN;DEEP ALP;60;H.ALTUNDAĞ;MEHMET ALİ BECENE;MEHM.KAYA;5;%3.24(7);23;2:06.02;18,15;
7;MISS CURA KG DB SK;3y d  d;LION HEART (USA);SAYANORA;56 +1.50;Y.CENGİZ;ALİ ŞAHİN;E.ALTIN;11;%7.36(5);21;2:07.99;7,30;
8;SLICE OF LIFE SKG SK;3y a  e;VICTOIRE PISA (JPN);PARDON KIZ;58;A.AKDEMİR;MEHMET NARÇİN;M.BULUÇ;3;%1.23(10);;2:10.57;45,05;
9;KAPLAN ATEŞİ KG DB SK;3y a  e;FINESSE;MY BIG DREAM;62;İ.KATAR;SAVAŞ ERCÜMENT BECENE;A.IŞIK;10;%2.74(8);27;2:17.80;12,65;
10;DEEP WOODS SKG SK;3y d  e;TIZWAY (USA);FOREST LEGEND (USA);55 +2.00;A.ÇANKAYA AP;MUHAMMED ALİ ÇİZİK;T.ÇİZİK;8;%1.24(3);;2:23.41;3,20;
11;KÜÇÜK KANEKO KG SK;3y d  e;KANEKO;KÜÇÜK MATRA;58 +0.70;S.KAPLAN;MAHMUT KARAKEÇİ;Z.AKDEMİR;6;%4.32(6);;2:40.19;14,95;
12;KUMBULAZ (Koşmaz);3y d  e;BY THE TIME;MRS DADAŞ;55;M.P.DEMİR AP;MEHMET DEMİR;H.TEKİNALP;1;%0.23(11);;Koşmaz;;
