İstanbul;(15. Yarış Günü);17/05/2026
1. Kosu :   14.00;ŞARTLI 19/DHÖW/Dişi; 3 Yaşlı Araplar; 57.00kg; 1200m; Çim;;;;Rekor Derece :1.16.50
İkramiye;;;;;Yetiştirici Primi;;;;
1.)600.000 TL;2.)240.000 TL;3.)120.000 TL;4.)60.000 TL;5.)30.000 TL;1.)180.000 TL;2.)72.000 TL;3.)36.000 TL;4.)18.000 TL;5.)9.000 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ALBASTI TAY KG K;3y a  d;AYABAKAN;GECE ATEŞİ;57;M.S.ÇELİK;TUBA GÖRER;G.SUBAŞI;6;%25.22(1);;1:19.15;2,90;3 Boy
2;QUEEN HANIM KG K;3y k  d;AFRİKAANDER;HANIM ABLA;57;Ö.YILDIRIM;MEHMET UÇAR;Y.UÇAR;2;%21.77(2);;1:19.57;2,70;2,5 Boy
3;YAMAN ÖZGE SK;3y a  d;ÖZHABER;MAHMURE;59;A.ÇELİK;SEMİH KATI;H.SUNKAR;1;%21.17(3);;1:19.89;3,25;Baş
4;HARDAL ÇİÇEĞİM KG SK;3y a  d;GELİBOLU;TURBO SERRA;55 +1.20;İSM.YILDIRIM AP;UMUT ERKULU;H.HARMANBAŞI;4;%11.92(4);;1:19.91;8,80;8 Boy
5;ÇİLDUTAY KG;3y a  d;UÇANBEY;KUSURSUZAŞK;55 +1.00;A.YILDIZ;MÜSLÜM ŞEKER;RAM. KAYA;7;%6.06(6);;1:21.02;8,15;
6;ELİTEZ K DB;3y a  d;DİLİRAN;YEDİİKLİM;51;R.YILDIZ AP;MÜSLÜM ŞEKER;RAM. KAYA;5;%0.64(6);;1:21.50;8,15;
7;YAYLA ÇİÇEĞİ KG SK;3y a  d;ÖZGÜNHAN;SEPYA;55;E.ÇİZİK;İSHAK ŞAHİN;H.SUNKAR;8;%9.71(5);;1:22.83;8,15;
8;ESTEL KG DB SK;3y k  d;MADRABAZ;SULTANGÜZELİ;52 +1.30;Y.GÖKÇE AP;BERAT AKDUMAN;M.AKKILIÇ;9;%2.21(7);;1:22.93;12,40;
9;SABRİNİN KIZI KG K;3y a  d;SABRİNİN ATI;MISS ERCİŞ;55 +1.30;G.ÖZÇELİK;TEVFİK CAN;Ö.GÜNELİ;3;%1.31(8);;1:22.98;31,60;
[(5)ÇİLDUTAY,(6)ELİTEZ,] eküridir.GANYAN(2) :2,90 TL, İKİLİ(2/4) :4,25 TL, SIRALI İKİLİ(2/4) :8,65 TL

2. Kosu :   14.30;ŞARTLI 4/DHÖW; 4 ve Yukarı Araplar; 57.50kg; 60.00 kg; 2000m; Sentetik;;;;Rekor Derece :2.14.52
İkramiye;;;;;Yetiştirici Primi;;;;
1.)595.000 TL;2.)238.000 TL;3.)119.000 TL;4.)59.500 TL;5.)29.750 TL;1.)107.100 TL;2.)42.840 TL;3.)21.420 TL;4.)10.710 TL;5.)5.355 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ÖZÜDOĞRU KG DB;9y a  a;ATEŞTOPU;ANIKIZ;56 +1.00;H.ÇİZİK;ALPAY DEMİREL;S.ALMAZ;5;%6.43(4);97;2:16.92;10,25;4 Boy
2;İNEBOLU SKG SK;7y a  a;KAIZBERT (RU);RÜYA HANIM;60;V.ABİŞ;KASIM TAŞKIRAN;C.TURAN;7;%41.95(1);102;2:17.56;1,70;1 Boy
3;SAADIN KASIRGASI KG DB;6y d  a;SAADIN GÜCÜ;BAYKANECE;57;BERK.GÖKÇE AP;FERAT ÖZKAN;K.BER.TUTAL;6;%2.42(6);90;2:17.70;23,95;4,5 Boy
4;EFE METE BEY;5y k  a;YAKUPBEY;ÖZLÜCAN;60;A.KURŞUN;YÜCEL YAĞIZ;Y.DEMİRKIRAN;2;%2.33(7);78;2:18.34;11,00;Burun
5;O BİR ÇELİK KG K;6y a  a;KAIZBERT (RU);JONATHAN;56;Y.GÖKÇE AP;MUNİR GÖKÇE;B.ÇAPKIN;3;%34.49(2);107;2:18.35;2,15;
6;AVCITOKOÇİN SKG SK;6y k  a;ARTOS;ÇERKEZKÖY GÜZELİ;53 +1.00;Y.Ş.GÜMÜŞ AP;TOLGA TOKOÇİN;N.KÖÇKEN;4;%4.06(5);89;2:19.74;16,80;
7;NİĞBOLU KG DB SK;10y k  a;GOBAKBEY;AMANOS;56;A.KAÇMAZ;CÜNEYT ÇALICIOĞLU;S.AYDOĞAN;1;%8.3(3);94;2:20.08;6,50;
GANYAN(7) :10,25 TL, İKİLİ(2/7) :11,10 TL, SIRALI İKİLİ(7/2) :40,95 TL, ÜÇLÜ BAHİS(7/2/4) :595,10 TL, 1. ÇİFTE(2/7) :64,00 TL

3. Kosu :   15.00;ŞARTLI 19/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1200m; Çim;;;;Rekor Derece :1.16.50
İkramiye;;;;;Yetiştirici Primi;;;;
1.)600.000 TL;2.)240.000 TL;3.)120.000 TL;4.)60.000 TL;5.)30.000 TL;1.)180.000 TL;2.)72.000 TL;3.)36.000 TL;4.)18.000 TL;5.)9.000 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;KERVAN SANCAĞI KG SK;3y a  e;ODİNHAN;AYTOLUN;59;E.ÇANKAYA;SEMİH KATI;H.SUNKAR;7;%24.95(2);34;1:19.55;2,10;3,5 Boy
2;RASTGELOĞLUM SK;3y k  e;SABRİNİN ATI;RASGALDİ;57;M.S.ÇELİK;EMİR KATI;C.KATI;4;%54.24(1);;1:20.08;1,80;6 Boy
3;VAHŞİ KRALİÇE KG K;3y a  d;GELİBOLU;ELDANS;55 +1.80;MAH.TURAN;ADİL TURAN;K.TURAN;3;%16.95(3);;1:21.10;3,10;5 Boy
4;MİNELTAY KG SK;3y a  d;YUNUS GİBİ;MALKİYA;56 +1.70;S.ÖZEN;ERCÜMENT GÜÇLÜ;HÜS.KARABULUT;6;%1.23(5);;1:21.99;14,95;12 Boy
5;ALTIN NOKTA KG K;3y a  e;SERDÜMEN;BİRSENLİ;52 +1.60;Y.GÖKÇE AP;MEHMET KORKMAZ;F.GARZAN;1;%2.51(4);;1:24.51;12,60;
6;TAŞKIN KRAL SK (Koşmaz);3y a  e;ONURKAAN;ANI;55;N.AVCİ;İSHAK ŞAHİN;H.SUNKAR;5;%0.1(6);;Koşmaz;;
7;KONÇİÇEK SK (Koşmaz);3y k  d;OĞUZBOYLU;KUDRET NARI;53;E.ÇİZİK;GÜLİZAR YANIK;H.SUNKAR;2;%0.01(7);;Koşmaz;;
GANYAN(1) :2,10 TL, İKİLİ(1/2) :1,85 TL, SIRALI İKİLİ(1/2) :4,85 TL, ÜÇLÜ BAHİS(1/2/5) :12,10 TL Çıkan 1 Atla: 2,40 TL, 2. ÇİFTE(7/1) :51,45 TL

4. Kosu :   15.30;Handikap 16 /H2; 3 Yaşlı İngilizler; kg; 1400m; Sentetik;;;;Rekor Derece :1.22.22
İkramiye;;;;;Yetiştirici Primi;;;;
1.)730.000 TL;2.)292.000 TL;3.)146.000 TL;4.)73.000 TL;5.)36.500 TL;1.)131.400 TL;2.)52.560 TL;3.)26.280 TL;4.)13.140 TL;5.)6.570 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
