Şanlıurfa;(6. Yarış Günü);18/05/2026
1. Kosu :   17.45;Maiden/DHÖW/Dişi; 3 Yaşlı Araplar; 57.00kg; 1200m; Kum;;;;Rekor Derece :1.20.38
İkramiye;;;;;Yetiştirici Primi;;;;
1.)395.000 TL;2.)158.000 TL;3.)79.000 TL;4.)39.500 TL;5.)19.750 TL;1.)118.500 TL;2.)47.400 TL;3.)23.700 TL;4.)11.850 TL;5.)5.925 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;PİRNAZIN KIZI KG K;3y a  d;BALALAYKA;PİRNAZ;57;M.E.DOĞAN;ABDULKADİR TOPRAK;OS.DEMİR;6;%22.43(1);;1:24.33;3,60;11 Boy
2;KAZAN GİRİL KG SK;3y k  d;DEDE SEYDO;GÜMÜŞ KAZAN;57 +0.20;İ.KATI;HALEF KATI;A.YARDIMCI;5;%4.39(6);;1:26.52;17,85;8,5 Boy
3;ŞEN ABLAM KG DB SK;3y k  d;BALALAYKA;CAN BEYZA;57;N.ALTIN;TALAT ŞENBAHAR;MAHMUT DOĞAN;10;%2.32(8);;1:28.22;30,95;Yarım Boy
4;GÜZEL DEFNE SK;3y d  d;SONALP;AHUNİGAR;57;A.AKDEMİR;AZİZ KULAK;MAHMUT DOĞAN;2;%19.72(2);;1:28.35;5,65;1,5  Boy
5;EZDAR GÜLÜ KG K DB;3y a  d;SERHANTAY;EZDAR;53;H.YÖNDEN AP;ALİ YAŞARER;İ.ATMACA;12;%1.2(12);;1:28.57;59,80;
6;FERATUN KG K;3y a  d;TALİPHAN;ZÜLUMKAR;57;İ.AKYAVUZ;MEHMET DOĞAN;MAHMUT DOĞAN;7;%16.96(3);;1:28.59;3,20;
7;NEHİRAFRA KG DB SK;3y a  d;HABERKAN;SU İYESİ;57 +0.30;Y.ÇELİKBAŞ;AHMET ÇİÇEK;M.ÇİÇEK;11;%1.56(10);;1:29.71;28,25;
8;VARTUHİM KG K;3y a  d;DİZDAR BEY;GÜZELDİZDAR;55;A.ÇANKAYA AP;GÜNAYDIN SAÇAN;S.KARAKEÇİLİ;1;%3.33(7);;1:30.03;23,80;
9;İKİNCİ ŞANS KG K;3y a  d;TEK YÜREK;PAMUK ABLA;57;İ.KATAR;HÜSEYİN SARIDAL;A.ZENGİN;8;%2.31(9);;1:30.61;31,90;
10;SIRÇA KÖŞK KG DB SK;3y k  d;YILMABAŞAR;SURÇA;57;F.YARDIMCI;İBRAHİM HAKKI BOYRAZ;Z.AKDEMİR;4;%15.17(4);14;1:33.41;2,80;
