Ankara;(13. Yarış Günü);19/05/2026
1. Kosu :   14.00;SATIŞ 3; 3 ve Yukarı İngilizler; 53.00kg; 60.00 kg; 60.50 kg; 1400m; Kum;;;;Rekor Derece :1.24.28
İkramiye;;;;;Yetiştirici Primi;;;;
1.)630.000 TL;2.)252.000 TL;3.)126.000 TL;4.)63.000 TL;5.)31.500 TL;1.)151.200 TL;2.)60.480 TL;3.)30.240 TL;4.)15.120 TL;5.)7.560 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;MY STAR DB;5y d  a;WIENER WALZER (GER);MYBELLE;56,5;A.KURŞUN;ASIM DUTAL;S.GÜRKAN;1;%36.12(1);99;1:27.57;1,95;1,5  Boy
2;TALE OF THE DREAM KG DB;5y d  a;AIR VICE MARSHAL (USA);INFAMOUS (IRE);60,5;V.ABİŞ;SELİM YILDIZ;R.TAŞDELEN;2;%25.83(2);91;1:27.87;2,95;1 Boy
3;HEY JUDE KG DB SK;6y d  a;PAPA CLEM (USA);MYTH AND MAGIC (IRE);58,5;M.S.ÇELİK;İLKER ÇAPOĞLU;MER.KORKMAZ;8 - DS;%11.55(3);88;1:28.06;5,75;4 Boy
4;TURDEMİRKIR KG DB SK;6y a  a;CAPTAIN RIO (GB);LİLA HATUN;55,5;H.ÇİZİK;MAHMUT KARAKEÇİ;AR.KILIÇ;5;%7.74(4);94;1:28.76;9,95;Yarım Boy
5;SECRET MAN DB SKG SK;4y a  a;TRAPPE SHOT (USA);RAINSTORM;58 +0.10;M.KAYA;MÜSLÜM ŞİMŞEK;HÜS.KAYA;7;%4.2(6);69;1:28.88;7,65;
6;SIRIUS BLACK KG K DB;7y d  a;HAKEEM (USA);ANAZARBUS;54,5 +2.00;SAL.ÇELİK;GİZEM ÇAKMAKOĞLU;K.S.MUCUR;6;%2.18(8);78;1:30.06;17,65;
7;EL REY ESCORPİON SK;3y d  e;PAPA CLEM (USA);KILL BILL;53 +0.10;M.T.COŞKUN AP;SEMİH KATI;H.SUNKAR;4;%2.04(9);50;1:30.14;20,95;
8;BLACK SHINING K;4y d  a;PAPA CLEM (USA);NOTERİN KIZI;60;M.G.ARSLAN;EBRU DAĞ;Y.UÇAR;3;%2.92(7);41;1:30.97;16,65;
9;SARPTAY K DB;6y a  a;CORINTHIAN (USA);PETEK SULTAN;58,5;MÜS.ÇELİK;OKTAY SERİCİ;A.ÇIKMAN;9 - DS;%7.42(5);86;1:31.60;13,25;
GANYAN(6) :1,95 TL, İKİLİ(1/6) :3,05 TL, SIRALI İKİLİ(6/1) :5,50 TL

2. Kosu :   14.30;ŞARTLI 1; 2 Yaşlı İngilizler; 57.00kg; 1100m; Kum;;;;Rekor Derece :1.06.44
İkramiye;;;;;Yetiştirici Primi;;;;
1.)835.000 TL;2.)334.000 TL;3.)167.000 TL;4.)83.500 TL;5.)41.750 TL;1.)250.500 TL;2.)100.200 TL;3.)50.100 TL;4.)25.050 TL;5.)12.525 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;SOLO IL GALA KG SK;2y d  e;KLIMT (USA);INSOMNIA;57;M.S.ÇELİK;ANSIN DİKİLİTAŞ;A.ÇIKMAN;2;%19.92(3);;1:09.53;3,25;9 Boy
2;FATHERSD K SK;2y d  e;MYBOYCHARLIE (IRE);LAST WINNER;57;V.ABİŞ;SELÇUK DEMİR;O.BULUT;1;%34.63(1);;1:10.98;1,80;10 Boy
3;ROLLER DEĞİŞTİ KG K;2y d  d;HAKEEM (USA);BUCA GÜZELİ;55 +2.00;SAL.ÇELİK;CEMAL YILDIZ;Y.UÇAR;7;%1.33(4);;1:12.72;3,25;Yarım Boy
4;DİREN KAPORTACI KG K;2y k  d;GENERAL QUARTERS (USA);CAPOLAVORO;55;MÜS.ÇELİK;CEMAL YILDIZ;Y.UÇAR;5;%12.97(4);;1:12.85;3,25;4,5 Boy
