Kocaeli;(7. Yarış Günü);26/05/2026
1. Kosu :   17.45;ŞARTLI 3; 2 Yaşlı İngilizler; 57.00kg; 1000m; Kum;;;;Rekor Derece :1.01.51
İkramiye;;;;;Yetiştirici Primi;;;;
1.)400.000 TL;2.)160.000 TL;3.)80.000 TL;4.)40.000 TL;5.)20.000 TL;1.)120.000 TL;2.)48.000 TL;3.)24.000 TL;4.)12.000 TL;5.)6.000 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;DRAGON VICTORY SK;2y d  e;KLIMT (USA);NO DELUSION (USA);57;A.YILDIZ;HASAN KARAKEÇİ;N.KAYA;5;%65.94(1);39;1:03.49;1,40;2 Boy
2;RAZENOID KG DB SK;2y d  e;BATTLEGROUND (USA);KARATECİ EYLÜL;54 +2.00;E.BOZDAĞ;EBRU KARGIN;TU.TURAN;2;%2.95(3);;1:03.83;5,90;5 Boy
3;VICTORY MARIA KG DB SK;2y d  d;TIZWAY (USA);EASY COME EASY GO;54 +2.00;M.ÇİÇEK;BÜLENT DEMİR;H.DOLMAZ;3;%13.2(2);;1:04.62;1,60;7 Boy
4;GÖKTEKİ YAĞMUR SK;2y a  d;GÜNGÖR BABA;KILAVUZ HATİCE;54 +2.00;M.KEÇECİ AP;BÜLENT DEMİR;H.DOLMAZ;4;%15.7(2);40;1:13.86;1,60;
5;LION ESMER K (Koşmaz);2y a  e;KLIMT (USA);BARABULKA;57;Ö.YILDIRIM;BÜLENT YARDIMCI;H.DOLMAZ;1;%2.05(4);41;Koşmaz;;
6;DRAGON FURIOUS SK (Koşmaz);2y d  e;HAKEEM (USA);DİLANIM;54;G.ÖZÇELİK;HASAN KARAKEÇİ;N.KAYA;7;%0.14(5);;Koşmaz;;
7;KUZGUN GÖKMEN KG K (Koşmaz);2y a  e;ULAN BATOR;MAKARON;50;M.T.ERTAL AP;FATMA YEMEZ;AT.GÖKÇE;6;%0.01(6);;Koşmaz;;
[(1)DRAGON VICTORY,(4)DRAGON FURIOUS,] eküridir.[(7)VICTORY MARIA],(2)GÖKTEKİ YAĞMUR],] eküridir.GANYAN(1) :1,40 TL, İKİLİ(1/6) :11,20 TL, SIRALI İKİLİ(1/6) :16,20 TL

2. Kosu :   18.30;Handikap 15 /H2; 3 Yaşlı İngilizler; kg; 2000m; Kum;;;;Rekor Derece :2.07.41
İkramiye;;;;;Yetiştirici Primi;;;;
1.)490.000 TL;2.)196.000 TL;3.)98.000 TL;4.)49.000 TL;5.)24.500 TL;1.)88.200 TL;2.)35.280 TL;3.)17.640 TL;4.)8.820 TL;5.)4.410 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;SINGLE SHOT DB SK;3y a  e;TRAPPE SHOT (USA);MANOUSH;57,5;SAL.ÇELİK;AHMET CEMİL BURHANLIOĞLU;A.ÇIKMAN;6 - DS;%15.71(3);52;2:11.21;4,35;6,5 Boy
2;BEYLERİNBEYİ SKG SK;3y d  e;NOBEL PRIZE (IRE);EBRU QUEEN;60,5;M.KAYA;KEMAL ALTIN;N.KAYA;1;%23.68(2);58;2:12.36;3,95;8 Boy
3;WINNING DRAGON KG SK;3y d  e;TIGER MOTH (IRE);VELO BREEZE;57;A.SÖZEN;MURAT KARABULUT;S.SÜSLÜ;2;%47.08(1);51;2:13.73;1,40;1,5  Boy
4;WARRIOR MAN DB SK;3y d  e;SUPER SAVER (USA);FAIR STORM;58;M.ÇİÇEK;İBRAHİM HALİL YILDIZSOY;H.DOLMAZ;5;%5.5(5);53;2:14.01;5,60;5 Boy
5;SİGUEME SK;3y d  e;MENDIP (USA);AMAZON QUEEN;59;Ö.F.ÖZEN AP;GÜLİZAR YANIK;M.DOLAK;4;%6.96(4);59;2:14.83;15,20;
6;GECE İZ KG K DB;3y d  d;MENDIP (USA);MISS DURU;52 +2.00;R.KETME AP;LEVENT ŞENTÜRK;A.R.AYDIN;3;%1.07(6);38;2:21.72;19,20;
GANYAN(4) :4,35 TL, SIRALI İKİLİ(4/2) :18,95 TL, 1. ÇİFTE(1,4/4) :7,05 TL

3. Kosu :   19.00;Maiden; 3 Yaşlı İngilizler; 58.00kg; 1400m; Kum;;;;Rekor Derece :1.23.67
İkramiye;;;;;Yetiştirici Primi;;;;
1.)545.000 TL;2.)218.000 TL;3.)109.000 TL;4.)54.500 TL;5.)27.250 TL;1.)130.800 TL;2.)52.320 TL;3.)26.160 TL;4.)13.080 TL;5.)6.540 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;KING LUTHER SKG SK;3y d  e;KLUGER (JPN);GRANADA;58;B.KILINÇ;ASLAN TEPELİ;D.TEKELİ;10;%26.6(1)  %33.94(1);;1:27.23;2,10;9 Boy
2;HEAVEN LIGHT KG DB SK;3y d  d;SUPER SAVER (USA);ŞEKER HANIM;60;M.KAYA;BİLAL AVCI;S.ÇİFTÇİ;9;%14.48(4)  %12.31(4);36;1:28.67;5,90;Baş
3;LEGACY OF HENRY KG SK;3y d  e;RUNHAPPY* (USA);SKY MIRAGE (USA);58;A.SÖZEN;OKTAY OHCAK;C.TURAN;1;%18.35(2)  %22.22(2);32;1:28.69;2,90;3,5 Boy
4;MY STARDUST KG SK;3y d  e;ABBAS YOLCU;MY BUTTERFLY;58;A.YILDIZ;SERTAÇ KILIÇ;Ş.GÖKÇE;3;%7.81(5)  %6.32(5);30;1:29.20;11,55;6 Boy
5;PERSONA NON GRATA DB SK;3y a  e;SUPER SAVER (USA);CYNICAL STORM (USA);58 +0.20;M.M.BİLGİN;RECEP AVŞAR;HÜS.KARABULUT;11;%15.19(3)  %13.38(3);31;1:30.10;4,65;
6;SECRET SAVER DB SK;3y a  d;SUPER SAVER (USA);BUSH DANCER;56;O.ATMACA;MURAT TEZER;G.TAŞDELEN;7;%3.11(7)  %2.1(7);29;1:30.52;39,85;
7;GIPSY THUNDER KG DB SK;3y d  d;MYBOYCHARLIE (IRE);ADASTRALINA;56;E.BOZDAĞ;İBRAHİM TAŞEL;G.TAŞDELEN;6;%1.72(9)  %1.28(8);20;1:31.88;26,15;
8;KING DESTINY KG K;3y d  e;VICTOIRE PISA (JPN);MISS GATSBY;58;S.ÖZEN;SABİNA MAMEDOVA;B.YÜKSEL;4;%1.77(8)  %1.27(9);;1:32.07;36,75;
9;KİKAZARU DB SKG SK;3y d  g;KLIMT (USA);WEAKNESS;59;BERK.GÖKÇE AP;ÖZCAN KARA;Ö.GÜNELİ;13 - DS;%5.63(6)  %3.8(6);34;1:34.67;15,75;
10;CRAZY SECRET;3y d  d;LUXOR;SECRET PLANET;55 +2.00;ER.CANKILIÇ AP;TUNCAY YILMAZ;E.ÇUKURKAŞ;5;%1.14(10)  %0.79(10);;1:35.03;50,60;
11;PARSİS KG DB SK;3y k  e;TOMS;OVER FLOWING;54;R.KURT AP;KADİR ZAHİ;S.AKCI;8;%0.33(12)  %0.16(13);9;1:36.35;99,05;
12;MYSTIC MIRAGE DB SKG SK;3y d  d;VICTOIRE PISA (JPN);THYPHON GIRL;56 +0.10;C.TEPE;BİHTERCAN ATAÇ;Z.B.DURGUN;2;%0.32(13)  %0.17(11);11;1:38.31;117,65;
13;VICTOR OSIM KG K DB;3y a  e;TRAPPE SHOT (USA);SUADİYE;55 +1.50;M.KEÇECİ AP;OKTAY OHCAK;C.TURAN;12;%1.12(11)  %0.72(11);;1:40.98;2,90;
14;QUİEREME KG DB SK (Koşmaz);3y a  d;TRAPPE SHOT (USA);BIG AFRICA;57;A.MEH.ALTIN AP;ERDAL YAVUZEL;AL.ÇİZİK;14 - DS;%2.41(14)  %1.54(13);27;Koşmaz;42,65;
[(4)LEGACY OF HENRY,(8)VICTOR OSIM,] eküridir.GANYAN(3) :2,10 TL, İKİLİ(3/9) :7,60 TL, SIRALI İKİLİ(3/9) :11,35 TL, 2. ÇİFTE(4/3) :11,85 TL

4. Kosu :   19.30;Handikap 14/DHÖW /H2; 4 Yaşlı Araplar; kg; 1800m; Kum;;;;Rekor Derece :2.06.23
İkramiye;;;;;Yetiştirici Primi;;;;
