İzmir;(42. Yarış Günü);05/04/2026
1. Kosu :   17.45;Maiden/DHÖW; 4 Yaşlı Araplar; 58.00kg; 1600m; Kum;;;;Rekor Derece :1.48.55
İkramiye;;;;;Yetiştirici Primi;;;;
1.)545.000 TL;2.)218.000 TL;3.)109.000 TL;4.)54.500 TL;5.)27.250 TL;1.)130.800 TL;2.)52.320 TL;3.)26.160 TL;4.)13.080 TL;5.)6.540 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ŞADİNİN OĞLU KG K DB;4y k  a;DEMİRDÖVEN;KIZIMESRA;58;M.M.BİLGİN;BAHADIR YEŞİL;A.ATAŞ;1;%34.84(1);;1:55.06;1,80;2,5 Boy
2;BOZKIR ARSLANI KG K;4y a  a;DİLİRAN;TATİŞKO;54;B.BÜLBÜL AP;AZRA ARSLAN;FAH.CEYLAN;7;%3.68(7);;1:55.46;23,05;4 Boy
3;ÖZCİVELEK;4y a  a;UFUKBİR;NURTEN;55 +1.20;A.MEH.ALTIN AP;MEHMET ALİ AKDAĞ;H.DURMUŞ;3;%12.74(4);31;1:56.13;4,95;Boyun
4;AKBÖRÜ KIZI;4y k k;JOKER;BERMİNA;52 +0.30;E.D.ÖKTEN AP;BÜLENT AKBÖRÜ;HAK.ASLAN;8 - DS;%6.65(5);20;1:56.17;7,30;7 Boy
5;YÜREĞİ GÜZEL KG SK;4y d k;YÜREKKAYA;GÜZELKAYA;58;A.İNCİ;KADRİYE KAYA;M.Y.YILDIRIM;5;%4.93(6);31;1:57.45;17,70;
6;MERTBERT KG K;4y a  a;MERTADAM;TİGİN;59;Ö.F.ÖZEN AP;YILDIRAY KURAK;O.AKTAŞ;4;%20.88(2);35;1:57.52;3,65;
7;ÇÖL FATİHİ KG K;4y a  a;FATİH AĞA;ÇÖL CEYLANI;58;S.AKŞIN AP;FERİDUN KILIÇASLAN;B.ÖZGÜR;2;%14.03(3);30;2:00.30;4,55;
8;TUSEN KG SK (Koşmaz);4y k  a;ARASLI;COMOGÖLÜ;58;B.M.MIRIK;NEJDET SELÇUKOĞLU;M.YAYAN;6;%2.24(8);;Koşmaz;;
GANYAN(5) :1,80 TL, İKİLİ(3/5) :26,60 TL, SIRALI İKİLİ(5/3) :26,85 TL
