Şanlıurfa;(26. Yarış Günü);06/04/2026
1. Kosu :   18.45;ŞARTLI 19/DHÖW; 4 Yaşlı Araplar; 58.00kg; 1700m; Kum;;;;Rekor Derece :1.56.86
İkramiye;;;;;Yetiştirici Primi;;;;
1.)395.000 TL;2.)158.000 TL;3.)79.000 TL;4.)39.500 TL;5.)19.750 TL;1.)94.800 TL;2.)37.920 TL;3.)18.960 TL;4.)9.480 TL;5.)4.740 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;MALKOÇ FATİH KG K;4y a  a;FATİH AĞA;CANYELDA;56;E.AKKILIÇ;İSMAİL GÜRLER;M.DEMİROL;4;%6.43(5);11;2:09.41;10,85;8,5 Boy
2;ARAP İBO SKG SK;4y k  a;FATİH AĞA;İMPARATORİÇE;56;İ.AKYAVUZ;NÜSRET CANPOLAT;S.BECENE;5;%33.85(1);34;2:11.11;2,30;Boyun
3;ASIM EFE KG SK;4y a  a;HİSARBEY;NARTANEM;58 +1.30;M.ÜNLÜ;NİHAT BAYDAN;İ.ATMACA;10;%18.3(2);23;2:11.14;4,40;2,5 Boy
4;KAFKAS YİĞİDİ SK;4y a  a;KAFKAS ŞAHI;ONGAR;61;S.KAPLAN;AVNİ ASLAN;İ.ÇEÇAN;6;%16.09(3);31;2:11.58;4,25;8,5 Boy
5;AKALTUN BEYİ KG;4y k  a;AKARÇAY;GÜLSENUR;56 +2.00;N.ALTIN;İSMAİL KOÇYİĞİT;A.ZENGİN;9;%5.31(6);20;2:13.29;8,35;
6;ONURSÜREN KG SK;4y a  a;ONURKAAN;İZSÜREN;58;Y.CENGİZ;MEHMET KAHRAMAN;H.TÜRKMAN;8;%10.57(4);24;2:16.38;5,65;
7;AMADAY KG DB;4y a  a;BİÇER;EYYARCAN;56 +0.50;M.E.DOĞAN;FERİT YARDIMCI;A.YARDIMCI;1;%0.91(9);;2:29.24;41,65;
8;TESSERA KG K;4y k k;TAMERİNOĞLU;TAŞBEBEK;53 +2.00;M.A.AKGÖBEK AP;MEHMET EMİN UYGUNER;MEH.ÖZKAN;7;%5(7);24;2:30.99;10,45;
9;PRINCESS MELİSSA KG K;4y k k;CANBERKTAY;BAŞAĞIM;56 +2.00;H.ALTUNDAĞ;ÇETİN ALTIN;MEH.ASLAN;2;%2.87(8);;Derecesiz;15,50;
10;ATİKEDRA KG DB SK;4y k k;FATİH AĞA;ATİKKOBRAM;50 +2.00;H.YÖNDEN AP;MAHMUT KARAKEÇİLİ;MAHMUT DOĞAN;3;%0.68(10);6;Derecesiz;44,00;
GANYAN(6) :10,85 TL, İKİLİ(5/6) :11,50 TL, SIRALI İKİLİ(6/5) :39,15 TL

2. Kosu :   19.15;Handikap 15/DHÖW /H3; 4 Yaşlı Araplar; kg; 1800m; Kum;;;;Rekor Derece :2.04.78
İkramiye;;;;;Yetiştirici Primi;;;;
1.)350.000 TL;2.)140.000 TL;3.)70.000 TL;4.)35.000 TL;5.)17.500 TL;1.)63.000 TL;2.)25.200 TL;3.)12.600 TL;4.)6.300 TL;5.)3.150 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;GÖLDERELİ KG;4y k  a;BARBAROSBEY;NALCAN;51,5 +0.80;H.YÖNDEN AP;HACIM KANDEMİR;K.TAŞDEMİR;6;%1.63(8);37;2:19.48;26,20;1,5  Boy
2;BABAGÜNTAY KG DB SK;4y k  a;GÜNTAY;ŞİFASULTAN;55;E.AKKILIÇ;RAMAZAN TUMBUL;Z.AKDEMİR;9 - DS;%5.07(6);38;2:19.70;11,05;1 Boy
3;KARA MAHO KG;4y k  a;SERHANTAY;ATEŞİN GÜCÜ;54 +1.30;İ.AKYAVUZ;NÜSRET CANPOLAT;MEHM.KAYA;3;%19.55(3);36;2:19.89;4,25;Baş
4;BÖRÜTAY DB SK;4y a  a;UÇANOĞLU;ÇAYELİ;59,5;A.AKDEMİR;MUZBAH YARDIMCI;A.YARDIMCI;4;%24.82(2);47;2:19.92;2,25;14 Boy
5;PERVARİ KG DB SK;4y k  a;FATİH AĞA;PREVEZE;60,5;Y.CENGİZ;BÜLENT TOYDEMİR;M.DEMİROL;5;%30.18(1);49;2:22.68;2,60;
6;İYİMSER DB;4y a k;ÖZGÜNHAN;SİDALCAN;55 +0.50;M.A.AKGÖBEK AP;MEHMET KILIÇ;N.DOĞAN;8;%5.11(5);42;2:27.21;11,45;
7;CİHAN BABA DB SKG SK;4y a  a;SERHANTAY;ALNURA;52 +2.00;B.SARIDAL AP;CEVER KARAOĞLAN;E.AÇMAZ;7;%9.72(4);32;2:33.28;8,00;
8;HIZLI MİRAN KG SK;4y k  a;SAKARBAŞI;DOĞANNUR;56 +1.30;S.KAPLAN;ENSAR UKAŞ;SER.DOĞAN;1;%3.25(7);40;2:38.32;11,50;
9;PRINCESS GIRL KG K DB (Koşmaz);4y k k;BARBAROSBEY;SÜZGÜN;55;H.ALTUNDAĞ;HÜSEYİN FELHAN;A.AKBABA;2;%0.65(9);38;Koşmaz;;
GANYAN(7) :26,20 TL, İKİLİ(5/7) :120,40 TL, SIRALI İKİLİ(7/5) :351,15 TL, ÜÇLÜ BAHİS(7/5/8) :2.596,50 TL Çıkan 1 Atla: 240,80 TL, PLASE(5) :2,90 TL, PLASE(7) :18,40 TL, 1. ÇİFTE(6/7) :333,45 TL

3. Kosu :   20.00;Handikap 16 /H3; 4 ve Yukarı İngilizler; kg; 1400m; Kum;;;;Rekor Derece :1.24.64
İkramiye;;;;;Yetiştirici Primi;;;;
1.)440.000 TL;2.)176.000 TL;3.)88.000 TL;4.)44.000 TL;5.)22.000 TL;1.)79.200 TL;2.)31.680 TL;3.)15.840 TL;4.)7.920 TL;5.)3.960 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ORTAK GÜÇ DB SKG SK;5y d  a;TU BRUTUS (CHI);VELVET;63;A.H.BAYAR;AZİZ KARAKEÇİLİ;S.KARAKEÇİLİ;4;%6.16(4)  %6.84(3);65;1:30.82;6,15;Boyun
2;SUPERLINE KG DB SK;5y d  a;SUPER SAVER (USA);PENTOLINE;55 +2.00;Y.ÇELİKBAŞ;HİKMET ÇELİK;S.KARAKEÇİLİ;1;%4.91(5)  %4.59(6);49;1:30.87;7,30;7 Boy
3;BROMANCE KG K DB;4y d  a;AIR VICE MARSHAL (USA);AZHA (USA);60;İ.KATAR;ALİ ÇİZİK;T.ÇİZİK;2;%15.73(2)  %15.47(2);61;1:32.27;2,90;Burun
4;DESERT FEVER DB SKG SK;5y d  a;TIZWAY (USA);CUTIE GIRL (USA);61;A.AKDEMİR;ALİ KARAKAN;K.TAŞDEMİR;6;%4.25(6)  %4.99(5);61;1:32.28;10,95;1 Boy
5;ASABİ K DB SKG;7y d  a;SCARFACE;RIGOROUS (USA);58,5;N.ALTIN;İBRAHİM HALİL TURAN;T.ÇİZİK;5;%7.02(3)  %6.34(4);56;1:32.45;5,80;
6;STORMY RIVER KG DB SK;6y d k;WIN RIVER WIN (USA);GAMOVA;61;N.DEMİR;ALİ ÇİZİK;M.E.SARIDAL;10;%1.26(2)  %1.26(2);61;1:32.78;2,90;
7;ARTAX KG K DB;4y d  a;MASTER PATRICK (IRE);DONG SOCIETY;60,5;İ.AKYAVUZ;SALİH YILDIZER;M.ASLAN;9;%53.9(1)  %53.39(1);62;1:33.01;2,65;
8;TYRAXES KG K DB;4y d  a;MENDIP (USA);ALLURE D'AMOUR (IRE);58;M.IŞIK;SEYFİ ALTIN;MEH.ASLAN;7;%1.62(9)  %1.48(9);57;1:34.97;17,10;
9;BATIMERT KG DB SK;4y d  a;EUPRHATES (USA);YALÇINKIZ;61;H.ALTUNDAĞ;MEHMET TURAN;BAR.BULUT;3;%2.71(7)  %2.92(7);63;1:35.12;12,30;
10;TRIPLE AZAREKS K DB ÖG;5y d  a;TRIPLE BONUS;EL SALLA;60,5;E.AKKILIÇ;CAN ÇAĞRI;H.TÜRKMAN;8;%2.44(8)  %2.73(8);60;1:38.91;14,45;
[(4)BROMANCE,(6)STORMY RIVER,] eküridir.GANYAN(1) :6,15 TL, İKİLİ(1/10) :69,55 TL, SIRALI İKİLİ(1/10) :145,95 TL, 2. ÇİFTE(7/1) :394,00 TL

4. Kosu :  GAP KOŞUSU 20.30;KV-8; 3 Yaşlı İngilizler; 58.00kg; 1900m; Kum;;;;Rekor Derece :1.59.89
İkramiye;;;;;Yetiştirici Primi;;;;
1.)695.000 TL;2.)278.000 TL;3.)139.000 TL;4.)69.500 TL;5.)34.750 TL;1.)166.800 TL;2.)66.720 TL;3.)33.360 TL;4.)16.680 TL;5.)8.340 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;THE HOCUS KG SK;3y d  e;GÜNGÖR BABA;SWEETHEART;58;Y.CENGİZ;MEHMET EMİN AKBALIK;MUR.DOĞAN;10;%17(2)  %16.35(2);66;2:10.54;3,85;1,5  Boy
2;KING OF RACE DB SKG SK;3y k  e;NİHAVEND LONGA;MORETHANAWARNING (USA);58;M.E.DOĞAN;FERİT YARDIMCI;A.YARDIMCI;6;%3.71(9)  %4.1(9);43;2:10.85;13,60;1,5  Boy
3;AŞAN GOLD DB SKG SK;3y d  d;GAZIBORA KHAN (GB);SPRING BREEZE;56;İ.AKYAVUZ;BÜLENT YARDIMCI;EKR.YARDIMCI;4;%11.15(4)  %11.26(5);56;2:11.06;5,50;1 Boy
4;SILVEN DB SKG SK;3y k  e;KIRCAALİ;RUSE;58;A.H.BAYAR;FIRAT TEKİNALP;K.TAŞDEMİR;3;%1.61(11)  %1.67(11);32;2:11.26;30,45;Yarım Boy
5;MY BRAVE SON K ÖG;3y d  e;MENDIP (USA);CEBELLİ KIZ;58 +1.30;M.ÜNLÜ;M.SABAHATTİN MALKOÇ;A.YARDIMCI;11;%11.07(5)  %11.48(4);62;2:11.36;8,65;
6;KORKMAZ KARDEŞLER KG DB SK;3y d  e;GOOD CURRY;FIRST LADY (IRE);58;M.IŞIK;KORKMAZ KORKMAZ;H.TÜRKMAN;9;%21.2(1)  %20.33(1);60;2:11.54;3,35;
7;ROTACI KG K;3y d  e;GENERAL QUARTERS (USA);SITARA (USA);58;A.AKDEMİR;KASIM AKDEMİR;Z.AKDEMİR;12 - DS;%13.19(3)  %13.14(3);36;2:12.33;4,75;
8;AZİZ GEÇGELHAT SKG SK;3y k  e;NATIVE KHAN (FR);SLENDER;58;N.ALTIN;AHMET ERCAN;H.TÜRKMAN;7;%6.33(7)  %6.28(7);43;2:15.74;11,05;
9;BERMEDEE KG K DB;3y d  e;AUTHORIZED (IRE);ÇARÇIRA;58 +0.20;H.ALTUNDAĞ;FERHAT İNAL;S.AKYAVUZ;8;%4.01(8)  %4.17(8);43;2:17.73;20,25;
10;ALITALIA KG K DB;3y d  d;AVERY ISLAND (USA);WEST LIFE;56 +0.20;N.DEMİR;FATMA YARDIMCI;A.YARDIMCI;1;%1.86(10)  %1.85(10);40;2:21.64;24,45;
11;METE KOÇ BEY KG K;3y d  e;GÜNGÖR BABA;KIRGÜLÜM;58;İ.KATAR;HÜSEYİN ÇELİK;S.KARAKEÇİLİ;2;%8.12(6)  %8.58(6);54;2:21.76;8,75;
12;PİTON KIZ KG DB SK;3y d  d;MER DE GLACE (JPN);PRAESEPE (GB);56 +1.00;Y.ÇELİKBAŞ;ERDAL YAVUZEL;T.ÇİZİK;5;%0.74(12)  %0.78(12);36;2:38.28;55,15;
GANYAN(9) :3,85 TL, 1. 3'LÜ GANYAN(7/1/9) :4.743,20 TL, İKİLİ(3/9) :64,90 TL, SIRALI İKİLİ(9/3) :113,05 TL, ÜÇLÜ BAHİS(9/3/11) :1.172,80 TL, PLASE(3) :5,90 TL, PLASE(9) :2,60 TL, PLASE İKİLİ(3/11) :26,10 TL, PLASE İKİLİ(3/9) :41,30 TL, PLASE İKİLİ(9/11) :12,20 TL, SIRALI 5 Lİ BAHİS(9/3/11/8/6) :140.025,37 TL, 3. ÇİFTE(1/9) :102,25 TL

5. Kosu :  ŞANLIURFA'NIN KURTULUŞU KOŞUSU 21.00;KV-9/DHT; 4 ve Yukarı Araplar; 58.00kg; 59.50 kg; 1200m; Kum;;;;Rekor Derece :1.20.38
İkramiye;;;;;Yetiştirici Primi;;;;
1.)800.000 TL;2.)320.000 TL;3.)160.000 TL;4.)80.000 TL;5.)40.000 TL;1.)192.000 TL;2.)76.800 TL;3.)38.400 TL;4.)19.200 TL;5.)9.600 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ANADOLU GÜCÜ KG SK;7y k  a;ORÇUN;ARZULU;59,5;A.H.BAYAR;CELAL DEMİR;E.AÇMAZ;2;%4.9(7)  %5.17(7);83;1:23.90;11,65;3 Boy
2;KENT RÜZGARI KG SK ÖG;5y a  a;HABERKAN;ŞUBATINKIZI;59,5;N.ALTIN;MUSTAFA ŞEFKAT;M.ŞEFKAT;1;%20.18(2)  %18.74(2);96;1:24.44;3,30;7,5 Boy
3;HEDBE KG SK;9y a  a;BERKSOY;DİZİ;59,5;E.ÇİZİK;HÜSEYİN ÇELİK;S.KARAKEÇİLİ;12;%22.65(1)  %21.28(1);99;1:26.10;3,35;2,5 Boy
4;GİRDABIN OĞLU KG SK;6y d  a;BABA MEVLÜT;GİRDAP;59,5;M.ŞAKİR AP;MEHMET KAHRAMAN;H.TÜRKMAN;13;%8.86(4)  %9.39(4);94;1:26.62;10,25;1,5  Boy
5;DÖRTNALBEYİ DB SKG SK;9y k  a;BALIKHAN;YILDIRIMKIZ;59,5;İ.AKYAVUZ;ÖMER YARDIMCI;A.YARDIMCI;8;%7.12(6)  %8.04(6);89;1:26.96;8,70;
6;İLKAYOĞLU KG SK;9y a  a;YAVUZŞAH;İLKAYSULTAN;59,5;H.ALTUNDAĞ;EMRAH CANPOLAT;İ.ÇEÇAN;14;%6.07(5)  %6.56(5);76;1:27.54;9,20;
7;OĞLUMBENİM DB SKG SK;8y a  a;UÇANBEY;MATRAKIZI;59,5;S.KAPLAN;İRFAN KARAKEÇİ;Z.AKDEMİR;10;%0.91(12)  %0.86(13);71;1:28.47;24,55;
8;ŞEŞENSULTANI KG K;7y k  a;ŞİMŞEĞİNOĞLU;ÖZBEKCEYLAN;59,5;N.DEMİR;EMRAH CANPOLAT;M.A.SUBAY;7;%1.72(5)  %1.66(5);83;1:29.36;9,20;
9;SEMENDHAN KG K;4y a  a;SEMEND;KAFKASGÜLÜ;58;A.AKDEMİR;AHMET MİZAN;N.DOĞAN;5;%14.34(3)  %14.67(3);73;1:31.43;4,90;
10;TARGUTAY KG DB SK;6y d  a;YAMANER;KUZGUN;59,5;E.AKKILIÇ;MEHMET ALİ ÖZKAN;S.KARAKEÇİLİ;11;%1.53(11)  %1.49(11);76;1:31.82;36,50;
