Antalya;(35. Yarış Günü);07/04/2026
1. Kosu :   17.15;Maiden/DHÖW; 4 Yaşlı Araplar; 58.00kg; 1200m; Sentetik;;;;Rekor Derece :1.18.18
İkramiye;;;;;Yetiştirici Primi;;;;
1.)545.000 TL;2.)218.000 TL;3.)109.000 TL;4.)54.500 TL;5.)27.250 TL;1.)130.800 TL;2.)52.320 TL;3.)26.160 TL;4.)13.080 TL;5.)6.540 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;GÜNATA DB SKG SK;4y k  a;ALTINÇEKİÇ;MİHRİCAN;54;SERH.ÇELİK AP;MELİS KURTEL EMİN;S.ÇELİKMAN;2;%32.13(1);32;1:20.91;2,30;5 Boy
2;FELEKTAY KG K DB;4y a k;GÜMBÜRGÜMBÜR;SÜRMELİ SULTAN;57 +0.10;SER.YILDIZ AP;ŞAHİN SEKİN;S.C.GÖZÜNGÜ;10 - DS;%8.46(5);33;1:22.00;5,30;2 Boy
3;BOYABAT KG K;4y k  a;TURBO;GİZEMLİTAY;58;E.ÇANKAYA;MURAT TORUN;M.KARAGÜNEY;5;%21.65(2);16;1:22.39;3,55;Boyun
4;HÜMA YAPRAK KG K DB;4y a k;DİLİRAN;TUMBUL YAPRAK;56;F.YÜCEL AP;İSMET ALTIN;Ö.ALTIN;3;%14.07(3);30;1:22.44;5,35;Burun
5;SAFİR KURT KG K DB GKR;4y d k;BİLGEKURT;FEVZİYE;58;İ.S.SÖĞÜT;OZAN TANİYİT;S.KULAK;1;%4.09(7);25;1:22.45;8,80;
6;KRAL HÜSEYİN KG DB;4y a  a;ALMAATA;NUZHA (FR);58;R.KETME AP;HÜSEYİN KAYA;S.AKCI;8;%8.55(4);30;1:23.40;7,30;
7;AMAN YÜREĞİM KG K;4y k k;YÜREKKAYA;AMANKAYA;52 +2.00;D.KONUK AP;KADRİYE KAYA;S.AKCI;9 - DS;%1.34(9);24;1:23.47;30,65;
8;KARA ONUR;4y k  a;ONURKAAN;KARAMASKE;58;O.ÖZTÜRK;BARIŞ KARAGÖZ;A.ÖCAL;7;%6.37(6);17;1:23.72;11,60;
9;BİLİNÇLİ HATUN KG DB;4y a k;ATEŞTOPU;CANEDA;53 +1.30;M.A.AKGÖBEK AP;MUSTAFA İLKADIM;B.TURGUL;6;%2.4(8);;1:24.62;32,00;
10;MİSS GELİBOLU KG K (Koşmaz);4y a k;GELİBOLU;MİSS TURBO;56;N.TUNCER AP;CUMA AKDUMAN;A.AKBULUT;4;%0.94(10);29;Koşmaz;;
GANYAN(3) :2,30 TL, İKİLİ(3/5) :11,30 TL, SIRALI İKİLİ(3/5) :16,70 TL

2. Kosu :   17.45;ŞARTLI 3; 4 ve Yukarı İngilizler; 58.00kg; 59.00 kg; 1200m; Kum;;;;Rekor Derece :1.12.98
İkramiye;;;;;Yetiştirici Primi;;;;
1.)400.000 TL;2.)160.000 TL;3.)80.000 TL;4.)40.000 TL;5.)20.000 TL;1.)72.000 TL;2.)28.800 TL;3.)14.400 TL;4.)7.200 TL;5.)3.600 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;HEY JUDE KG DB SK;6y d  a;PAPA CLEM (USA);MYTH AND MAGIC (IRE);56 +1.00;E.ÇANKAYA;İLKER ÇAPOĞLU;At Sahibi;7 - DS;%29.95(2);88;1:14.22;2,90;Yarım Boy
2;KUPA AVCISI KG K DB;4y d  a;ARMY MULE (USA);STREETHEART (USA);55;M.KESKİN;NURAY TEMİZKAN;Ö.F.TAN;3;%1.66(6);43;1:14.31;22,00;Boyun
