Elazığ;(2. Yarış Günü);08/04/2026
1. Kosu :   17.45;ŞARTLI 19; 3 Yaşlı İngilizler; 58.00kg; 1900m; Kum;;;;Rekor Derece :2.01.31
İkramiye;;;;;Yetiştirici Primi;;;;
1.)395.000 TL;2.)158.000 TL;3.)79.000 TL;4.)39.500 TL;5.)19.750 TL;1.)94.800 TL;2.)37.920 TL;3.)18.960 TL;4.)9.480 TL;5.)4.740 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;ÇEVİK HANI KG DB SK;3y d  e;HEMSWORTH (USA);TIA JUANA (IRE);58 +0.20;M.A.AKTÜRK;REFİK ÇEVİK;E.AÇMAZ;7;%13.81(3);25;2:18.59;4,90;7 Boy
2;ALPERİN OĞLU KG K DB;3y d  e;MY FREEDOM;KIZIM ASUDE;56 +2.00;MEH.TAŞKAYA;ALİ BAKIR;F.BAKIR;5;%3.45(7);11;2:19.98;17,50;3 Boy
3;CROWN TOZAN KG DB;3y d  e;SUPER ALP (USA);ENRICHING GIRL;60;İ.AKYAVUZ;CANER ARIK;N.DOĞAN;3;%11.4(5);23;2:20.58;6,20;2 Boy
4;KING GENARAL KG SK;3y d  e;GENERAL QUARTERS (USA);VICTORY BOOK;58;A.AKDEMİR;YAKUP ELĞAÇ;Z.AKDEMİR;8;%33.18(1);24;2:20.97;1,90;1,5  Boy
5;LAST GAME KG K;3y a  e;FINESSE;SUN RAIN;55 +0.90;B.SARIDAL AP;MUSTAFA SARIDAL;M.E.SARIDAL;2;%5.36(6);20;2:21.23;10,65;
6;BARAKHAN KG DB SK;3y d  e;VICTOIRE PISA (JPN);WHITE WATER;56 +1.50;H.ALTUNKILIÇ;ALİ IŞIK DENİZ;T.TAHTA;4;%1.64(8);10;2:22.01;30,75;
7;BRENDON DB SKG SK;3y d  g;BLUEGRASS CAT (USA);VICTORY FILE;58;M.E.DOĞAN;MAHMUT YARDIMCI;A.YARDIMCI;6;%12.02(4);24;2:23.25;7,75;
8;SERT RÜZGAR SKG SK;3y d  e;FINESSE;BAY BLESSING;60;Y.CENGİZ;İSMAİL ŞEŞEN;MEHM.KAYA;1;%19.14(2);25;2:23.37;3,45;
GANYAN(4) :4,90 TL, İKİLİ(4/7) :54,90 TL, SIRALI İKİLİ(4/7) :68,75 TL

2. Kosu :   18.30;Handikap 15/DHÖW /H3; 4 Yaşlı Araplar; kg; 1200m; Kum;;;;Rekor Derece :1.21.14
İkramiye;;;;;Yetiştirici Primi;;;;
1.)350.000 TL;2.)140.000 TL;3.)70.000 TL;4.)35.000 TL;5.)17.500 TL;1.)63.000 TL;2.)25.200 TL;3.)12.600 TL;4.)6.300 TL;5.)3.150 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;SANATKAR KG SK;4y a  a;ODİNHAN;SULTAN NUR;57,5;N.ALTIN;BİLAL DOĞAN;MAHMUT DOĞAN;7;%40.47(1);40;1:30.61;1,85;4 Boy
2;BİZİMSOY KG SK;4y a  a;DENİZİM;BERKUK;60,5;İ.KATAR;BİŞAR ÇELİK;M.A.SUBAY;6;%25.03(2);46;1:31.41;2,75;5,5 Boy
3;BERHAN BEYLİ KG DB SK SGKR;4y a  a;FATİH AĞA;TATLIHAN;58,5;İ.AKYAVUZ;MEHMET Ş. ÇİZİK;M.A.SUBAY;5;%20.21(3);42;1:32.63;3,10;Burun
4;BOYRAZAĞA KG K;4y a  a;LASMAR;ORGÜL TAY;53 +2.00;B.SARIDAL AP;İBRAHİM HAKKI BOYRAZ;Z.AKDEMİR;3;%2.37(7);31;1:32.64;17,35;3 Boy
5;KÜÇÜK YUNUS KG SK;4y k  a;FATİH AĞA;DIREJKIZI;52,5 +1.80;Ç.CANPOLAT AP;İBRAHİM CANLIKA;B.DEMİRKAPU;1;%4.59(4);32;1:33.28;13,50;
6;MESTAN BEY KG DB SK;4y a  a;GÜNTAY;ZUHALİM;59;H.ALTUNKILIÇ;ABDULHAMİT YARDIMCI;A.YARDIMCI;4;%4.39(5);43;1:33.35;10,85;
7;MUŞARDAĞI KG DB SK;4y k  a;CAPPADOCIA;GÜNBATIMI;53 +2.00;M.E.DOĞAN;ALİ ÇİZİK;T.ÇİZİK;2;%2.94(6);31;1:36.91;20,10;
GANYAN(4) :1,85 TL, İKİLİ(1/4) :2,80 TL, SIRALI İKİLİ(4/1) :6,20 TL, ÜÇLÜ BAHİS(4/1/3) :23,70 TL, 1. ÇİFTE(4/4) :14,65 TL

3. Kosu :   19.00;ŞARTLI 3/DHÖW; 4 Yaşlı Araplar; 58.00kg; 1200m; Kum;;;;Rekor Derece :1.21.14
İkramiye;;;;;Yetiştirici Primi;;;;
1.)280.000 TL;2.)112.000 TL;3.)56.000 TL;4.)28.000 TL;5.)14.000 TL;1.)50.400 TL;2.)20.160 TL;3.)10.080 TL;4.)5.040 TL;5.)2.520 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;TAM BİR SAVAŞÇI KG SK;4y k  a;FATİH AĞA;SITARA;58 +0.10;M.A.AKTÜRK;MEHMET Ş. ÇİZİK;T.ÇİZİK;6;%18.68(2)  %22.02(1);45;1:31.48;3,45;7 Boy
2;MERHAMET DB SKG SK;4y k k;FATİH AĞA;ALARASULTAN;54 +1.80;İ.AKYAVUZ;KEMAL YARDIMCI;A.YARDIMCI;9;%19.81(1)  %20.77(2);46;1:32.88;3,15;Yarım Boy
3;AĞASAÇAN KG SK;4y a  a;FATİH AĞA;GÜZELDİZDAR;55 +1.60;A.H.BAYAR;GÜNAYDIN SAÇAN;S.BECENE;5;%5.82(7)  %5.08(7);30;1:32.95;9,35;1,5  Boy
4;TURBOKOLİK KG DB SK;4y k  a;SON MARTI;AYAŞGÜZELİ;60;A.AKDEMİR;ALİ SUNKAR;N.DOĞAN;3;%13.2(3)  %12.22(4);30;1:33.19;6,45;2,5 Boy
5;ÖNCÜER K;4y k  a;ULUER;ÇILGINMÜRDAS;56 +2.00;İ.KATAR;SEDAT SUBAY;M.A.SUBAY;8;%2.99(9)  %2.5(9);33;1:33.67;17,85;
6;SERDENİZ DB;4y k  a;OĞLUM BURAK;SER ATAKANIM;55 +1.50;N.ALTIN;SUPHİ TOYDEMİR;MAHMUT DOĞAN;4;%12.43(4)  %12.46(3);53;1:33.85;5,85;
7;DEDE ENSAR KG DB SK;4y a  a;BUMBAİ;NURLUCA;55 +2.00;H.ALTUNKILIÇ;ABDULKADİR TOPRAK;MAHMUT DOĞAN;11;%1.86(10)  %1.33(11);32;1:34.06;34,00;
8;EBİŞİM KG DB SK;4y k k;SON MARTI;ŞERMİN KIZI;53 +2.00;B.SARIDAL AP;MEHMET TAHİR AKIL;T.ÇİZİK;1;%1.55(11)  %1.37(10);28;1:38.53;19,05;
9;TOSTOS TUĞRUL KG DB SK;4y a  a;GELİBOLU;DEMİRFIRTINASI;56 +1.90;Y.CENGİZ;NİHAT KARATOPRAK;H.TEKİNALP;2;%11.72(5)  %11.61(5);40;1:39.45;6,90;
10;SENUBEN KG DB SK;4y a  a;SERHANTAY;MONTREAL;58;M.E.DOĞAN;N.CEHDİ ADVAN;MAHMUT DOĞAN;10;%4.41(8)  %3.84(8);31;1:42.25;19,00;
11;BÜYÜK POYRAZ KG DB SK;4y a  a;AKARÇAY;BRONAS;56 +2.00;H.ALTUNDAĞ;KEMAL UÇAK;M.KARALI;7;%6.28(6)  %5.99(6);24;1:48.97;11,25;
12;BAKİKRAL SK GKR;4y a  a;AKARÇAY;KÜÇÜKKIYAMET;55;Ç.CANPOLAT AP;EMRAH CANPOLAT;M.A.SUBAY;12 - DS;%1.23(12)  %0.81(12);30;Derecesiz;40,55;
GANYAN(3) :3,45 TL, İKİLİ(3/7) :7,60 TL, SIRALI İKİLİ(3/7) :13,00 TL, 2. ÇİFTE(4/3) :11,40 TL

4. Kosu :   19.30;ŞARTLI 3; 3 ve Yukarı İngilizler; 51.00kg; 60.00 kg; 61.50 kg; 1800m; Kum;;;;Rekor Derece :1.55.12
İkramiye;;;;;Yetiştirici Primi;;;;
1.)280.000 TL;2.)112.000 TL;3.)56.000 TL;4.)28.000 TL;5.)14.000 TL;1.)50.400 TL;2.)20.160 TL;3.)10.080 TL;4.)5.040 TL;5.)2.520 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;GALLOON SKG SK SGKR;4y d  a;TOUGH GUY;TOUGH GIRL;60;MEH.TAŞKAYA;KENAN ÖZDEMİR;T.AYDIN;8;%48.37(1)  %50.68(1);85;2:04.66;1,60;17 Boy
2;EMİN AMCA SK;7y d  a;NEARLY GREEN;HELINDA;61,5;İ.AKYAVUZ;MEHMET EMİN DEMİRKAPU;B.DEMİRKAPU;1;%14.09(3)  %14.02(3);81;2:08.07;4,50;1 Boy
