Adana;(43. Yarış Günü);11/04/2026
1. Kosu :   14.00;Handikap 16/DHÖW /H2; 4 Yaşlı Araplar; kg; 1900m; Kum;;;;Rekor Derece :2.11.74
İkramiye;;;;;Yetiştirici Primi;;;;
1.)630.000 TL;2.)252.000 TL;3.)126.000 TL;4.)63.000 TL;5.)31.500 TL;1.)113.400 TL;2.)45.360 TL;3.)22.680 TL;4.)11.340 TL;5.)5.670 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;HIZLI İBRAHİM KG SK;4y k  a;FATİH AĞA;ERGÜL HANIM;56 +0.90;E.ÇANKAYA;SEDAT SUBAY;M.A.SUBAY;7;%26.46(1);60;2:18.06;2,40;4,5 Boy
2;YUSUF KAPTAN KG DB SK;4y a  a;ALTINCI HİS;KAFKASLIDEVRANI;55 +2.00;SAL.ÇELİK;MEHMET AKYILDIRIM;Y.BAYSAL;3;%4.64(7);58;2:18.89;15,50;Boyun
3;FATİH ŞAH;4y k  a;FATİH AĞA;YILDIZ ECE;50 +2.00;M.A.SOLMAZ;MEHMET ARSLAN;M.ARSLAN;5;%5.96(5);47;2:18.95;9,10;3 Boy
4;CANMERT;4y a  a;YILMABAŞAR;DERYANUR;54,5 +1.60;A.ÇELİK;RİFAT YAVUZ;S.POLAT;1;%22.85(2);57;2:19.46;3,40;7,5 Boy
5;TEYAR KG DB SK;4y k  a;KURUŞAĞA;DÜRİYE HANIM;50 +2.00;M.BAYIR;FİDAN GÜVEN ;A.GÜVEN;12 - DS;%2.58(9);39;2:20.97;26,45;
6;DİCLE FIRAT KG DB SK;4y a  a;ATEŞTOPU;EYLEMKIZ;57 +0.20;ER.CANKILIÇ AP;FIRAT YILDIZ;HÜS.TEKİNALP;8;%5.71(6);66;2:22.85;11,80;
7;TABİP BEY KG DB GKR ÖG;4y d  a;ÖZHABER;RÜZGARLI NEHİR;60,5;M.S.ÇELİK;SEMİH KATI;H.SUNKAR;2;%9.18(4);69;2:25.07;8,95;
8;KARA AYHAN KG DB SK;4y a  a;GÜMBÜRGÜMBÜR;KARAGÜL;51 +2.00;M.T.COŞKUN AP;BEŞİR KAYA;A.DİNÇ;11;%3.97(8);56;2:25.17;17,35;
9;BOĞAZİÇİ BEYİ KG;4y a  a;ORÇUN;KIZILGÜNEŞ;53,5 +2.00;H.ÇİZİK;BURAK GÖKTÜRK;İS.TEKİNALP;4;%14.8(3);55;2:25.21;5,40;
10;BABAMUŞLU KG DB GKR;4y a  a;GÜNTAY;PARAAVCISI;50 +0.70;M.UYAR AP;KUTBETTİN SAÇAN;A.DİNÇ;10;%0.42(12);33;2:27.54;112,75;
11;ATAKLI KIZ KG K;4y d k;TAYKUT;ATAKPRENSİ;60,5;M.AKYAVUZ;MEHMET DEMİRKAPI;E.AÇMAZ;6;%2.5(10);69;2:28.09;11,05;
12;İLBARS KG SK GKR;4y a  a;GELİBOLU;ALNAZ;50 +2.00;E.TUNÇ;ALİ ARAS;MEH.ÇELİK;9;%0.92(11);36;2:29.74;38,95;
GANYAN(4) :2,40 TL, İKİLİ(4/5) :23,90 TL, SIRALI İKİLİ(4/5) :30,45 TL

2. Kosu :   14.30;Maiden; 3 Yaşlı İngilizler; 58.00kg; 1900m; Çim;;;;Rekor Derece :1.54.52
İkramiye;;;;;Yetiştirici Primi;;;;
1.)545.000 TL;2.)218.000 TL;3.)109.000 TL;4.)54.500 TL;5.)27.250 TL;1.)130.800 TL;2.)52.320 TL;3.)26.160 TL;4.)13.080 TL;5.)6.540 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
