Ankara;(1. Yarış Günü);16/04/2026
1. Kosu :   14.30;Handikap 16 /H1; 3 ve Yukarı İngilizler; kg; 1200m; Kum;;;;Rekor Derece :1.12.68
İkramiye;;;;;Yetiştirici Primi;;;;
1.)730.000 TL;2.)292.000 TL;3.)146.000 TL;4.)73.000 TL;5.)36.500 TL;1.)131.400 TL;2.)52.560 TL;3.)26.280 TL;4.)13.140 TL;5.)6.570 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;CALVADOS KG SK;3y d  e;KANEKO;VAVENDU;53,5;M.A.SOLMAZ;SEDAT YILDIRIM;S.SÜSLÜ;9 - DS;%52.31(1);67;1:13.35;1,45;7 Boy
2;KUPA AVCISI KG K DB;4y d  a;ARMY MULE (USA);STREETHEART (USA);50 +2.00;M.KESKİN;NURAY TEMİZKAN;Ö.F.TAN;4;%16.9(2);45;1:14.44;4,70;1,5  Boy
3;MY SİXTH SENSE KG DB SK;4y k  a;SEVENTH SENSE;FLICK THE SWITCH;60,5;M.A.AKGÖBEK AP;OSMAN Z. TEKİNALP;K.TAŞDEMİR;1;%1.09(8);70;1:14.65;25,30;1,5  Boy
4;CATALYST K DB;4y a  a;APPROVE (IRE);MY KONOS;63;V.ABİŞ;İSA YÜKSEL;KAD.BALTACI;2;%7.04(4);71;1:14.88;5,60;1,5  Boy
5;REFLECTED GLORY DB SK;4y d  a;WAR OF WILL (USA);REFRESHING (GB);55 +2.00;SAL.ÇELİK;SELİM YILDIZ;Y.TUNCAY;7 - DS;%2.18(7);55;1:15.10;21,15;
6;GOLDEN SNOW DB SKG SK;4y k  a;NATIVE KHAN (FR);CEYLİN HATUN;50 +2.00;M.BAYIR;BAYRAM TANRIVERDİ;A.E.BAŞ;3;%0.79(9);37;1:16.18;26,20;
7;THRACE FEVER K DB SKG;5y d  g;PAPA CLEM (USA);DEMİRSU;60;M.S.ÇELİK;MEHMET AKTAŞ;MER.KORKMAZ;5;%9.35(3);63;1:16.60;10,15;
8;TURBO FANI KG DB SK;4y d  a;BALLIKAYA;LIEBESTRAUM;58,5;A.ÇELİK;SERHAT İSHAK KOCA;CE.POLAT;8 - DS;%5.16(6);62;1:16.76;10,60;
9;WALLACE DB SKG SK;4y d k;COPPERFIELD;COACHELLA;54 +2.00;A.KURŞUN;HÜSEYİN NERGİZ;N.DÜNDAR;6;%5.17(5);53;1:17.14;10,50;
GANYAN(3) :1,45 TL, İKİLİ(3/8) :3,30 TL, SIRALI İKİLİ(3/8) :4,75 TL

2. Kosu :   15.00;ŞARTLI 4; 3 Yaşlı İngilizler; 58.00kg; 2000m; Kum;;;;Rekor Derece :2.06.89
İkramiye;;;;;Yetiştirici Primi;;;;
1.)595.000 TL;2.)238.000 TL;3.)119.000 TL;4.)59.500 TL;5.)29.750 TL;1.)107.100 TL;2.)42.840 TL;3.)21.420 TL;4.)10.710 TL;5.)5.355 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;SUPER DİVO K;3y d  d;TILSIT (USA);HECTORINE;56 +1.10;SAL.ÇELİK;MURAT YILDIRIM;İB.B.OĞULLARI;6 - DS;%67.22(1);67;2:09.97;1,20;9,5 Boy
2;TAM TIME KG SK;3y d  e;HASAFET;KRALİÇE HAVVA;58;MÜS.ÇELİK;ERKUTAY ÖZYURTERİ;S.SÜSLÜ;1;%9.34(3);56;2:11.49;7,20;13 Boy
3;ALAMETİ FARİKA K DB;3y d  d;TOCCET (USA);PRENSES GÖZDE;58;H.ÇİZİK;MURAT KARA;İ.ÇEÇAN;4;%4.48(5);55;2:13.65;8,65;1 Boy
4;NEJDET BAŞKAN K DB;3y d  e;TILSIT (USA);MAZEJAN;58;A.KURŞUN;NEJDET SUMEL;YAS.POLAT;5 - DS;%12.38(2);56;2:13.85;4,10;5 Boy
5;ARNO RABEL K SKG;3y d  e;AUTHORIZED (IRE);LADY CHARA;54;N.DEMİR;YAVUZ YILMAZ;U.KULAK;3;%0.63(6);;2:14.70;28,30;
6;CAPITAL DB SKG SK;3y d  e;KLIMT (USA);LION BLEU;55 +2.00;M.AKYAVUZ;BERKE KURTULUŞ;İ.AKKILIÇ;2;%5.95(4);59;2:23.62;7,65;
GANYAN(4) :1,20 TL, SIRALI İKİLİ(4/3) :4,25 TL, 1. ÇİFTE(3/4) :1,80 TL

3. Kosu :   15.30;ŞARTLI 1/DHÖW; 3 Yaşlı Araplar; 57.00kg; 1100m; Kum;;;;Rekor Derece :1.15.23
İkramiye;;;;;Yetiştirici Primi;;;;
1.)835.000 TL;2.)334.000 TL;3.)167.000 TL;4.)83.500 TL;5.)41.750 TL;1.)250.500 TL;2.)100.200 TL;3.)50.100 TL;4.)25.050 TL;5.)12.525 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;TORLAK K;3y k  e;SERDÜMEN;NENEHATUN;57;V.ABİŞ;YUSUF YILDIZ;SER.YILDIZ;3;%25.9(1)  %30.58(1);;1:15.48;2,85;12 Boy
2;HASNENNİ KG K;3y k  e;KAFKASEFE;MELEKPER;57;MÜS.ÇELİK;BAKİ BAKIR BOYRAZ;MER.KORKMAZ;4;%7.43(3)  %6.76(4);;1:17.43;5,20;1 Boy
3;BAY AHMET KG DB SK;3y d  e;GÜMBÜRGÜMBÜR;MEİS;57 +0.20;M.AKYAVUZ;SALİH YILDIZER;İ.AKKILIÇ;7;%7.42(6)  %6.97(6);;1:17.55;7,00;1 Boy
4;RASTGELOĞLUM SK;3y k  e;SABRİNİN ATI;RASGALDİ;57 +0.10;M.S.ÇELİK;EMİR KATI;Y.TUNCAY;5;%13.09(4)  %12.26(3);;1:17.72;6,35;2,5 Boy
5;AYDIN DAYI SK;3y k  e;YAKUPBEY;CANAYCAN;57 +0.40;A.ÇELİK;GÜLİZAR YANIK;M.DOLAK;10;%19.39(2)  %18.92(2);;1:18.10;3,75;
6;ENESBERKE KG K;3y k  e;BERKSOY;BAFRALI;57 +0.10;H.ÇİZİK;İBRAHİM HAKKI BOYRAZ;M.DEMİROL;2;%5.85(3)  %5.24(4);;1:19.14;5,20;
7;KAHRAMAN KG SK;3y a  e;AFRİKAANDER;DİLŞANKIZI;57;E.ÇANKAYA;GÖNÜL ÇELİK;S.KARAKEÇİLİ;6;%7.4(5)  %6.07(5);;1:21.38;9,85;
8;ÇİZİKKARDEŞLER KG K;3y a  e;SERHANTAY;CEMREGÜLÜ;57;E.ÇİZİK;MEHMET EMİN ÇİZİK;M.H.ELĞAÇ;11;%4.38(8)  %3.39(8);;1:21.97;13,50;
9;ŞAH TUNALI KG K;3y k  e;TALİPHAN;YOLDAŞKIZI;57;SERH.ÇELİK AP;GÖNÜL ÇELİK;S.KARAKEÇİLİ;1;%2.15(5)  %1.8(5);;1:22.57;9,85;
10;SON KRALİÇE KG K;3y a  d;GÜMBÜRGÜMBÜR;ASLIATLI;55 +0.40;M.A.AKGÖBEK AP;NÜSRET CANPOLAT;AR.KILIÇ;8;%1.59(9)  %1.09(9);;1:23.38;35,20;
11;BÜCÜRÜK AKTAŞ KG K;3y k  e;AKTAŞOĞLU;MY AFRODİTE;57;SAL.ÇELİK;MEHMET AKTAŞ;MER.KORKMAZ;9;%5.4(7)  %6.93(7);;1:23.68;5,80;
[(6)HASNENNİ,(5)ENESBERKE,] eküridir.[(7)KAHRAMAN],(9)ŞAH TUNALI],] eküridir.GANYAN(10) :2,85 TL, İKİLİ(6/10) :17,80 TL, SIRALI İKİLİ(10/6) :25,35 TL, 2. ÇİFTE(4/10) :4,35 TL

4. Kosu : SERBEST HANDİKAP CEVDET KARATAŞ KOŞUSU 16.00;KV-18/DHÖW; 4 Yaşlı Araplar; kg; 1400m; Çim;;;;Rekor Derece :1.30.05
İkramiye;;;;;Yetiştirici Primi;;;;
1.)1.400.000 TL;2.)560.000 TL;3.)280.000 TL;4.)140.000 TL;5.)70.000 TL;1.)336.000 TL;2.)134.400 TL;3.)67.200 TL;4.)33.600 TL;5.)16.800 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;HERZAMAN KG K;4y a  a;SERHANTAY;PIRENSES BERCA;55 +1.70;H.ÇİZİK;RECEP KANDEMİR;K.TAŞDEMİR;8;%16.81(2)  %20.81(1);76;1:30.88;2,45;2 Boy
2;ÖZTUĞ KG SK;4y a  a;GÜMBÜRGÜMBÜR;IŞIL HANIM;53,5 +2.00;Ö.YILDIRIM;MERAL ÖZKAN;MEH.AKKUŞ;10;%10.37(5)  %9.37(5);91;1:31.17;7,60;1 Boy
3;HOPDEDİK KG K;4y k  a;GELİBOLU;HOPPA;60;A.KURŞUN;TAYRAL TUTUMLU;Ş.AYDEMİR;12 - DS;%14.17(3)  %13.66(3);74;1:31.31;6,05;3 Boy
4;DELİ UMUT KG SK;4y k  a;DEDE SEYDO;RASGALDİ;57,5;M.S.ÇELİK;İMAM KATI;Y.TUNCAY;2;%7.99(7)  %7.47(7);66;1:31.79;11,55;Yarım Boy
5;METİNCİM DB SK;4y a  a;UÇANBEY;KARAGÜLÜM;56,5;V.ABİŞ;M.TEVFİK DEVRİMCİ;T.O.KARA;1;%18.56(1)  %19.4(2);89;1:31.86;4,45;
6;DOĞUYURT DB;4y k  a;GÜRSU;AFİLLİ;59,5;A.SÖZEN;MELİS KURTEL EMİN;H.YÜZBAŞI;7;%8.21(6)  %8.1(6);71;1:32.23;8,40;
7;NUSRET OĞLU KG K DB SK;4y k  a;DİLİRAN;ZÜLUMKAR;51 +2.00;E.ÇİZİK;MEHMET DOĞAN;M.A.CANPOLATLI;11 - DS;%1.78(10)  %1.62(10);54;1:32.43;25,30;
8;CEVAHİRKAN KG SK;4y a  a;ÖZGÜNHAN;ŞİRİNE;62;A.ÇELİK;SEMİH KATI;M.DOLAK;9;%10.38(4)  %8.88(4);90;1:32.46;6,45;
9;BERAY SULTAN KG K;4y d k;MİNİFHAT OĞLU;BERAYCAN;60,5;M.AKYAVUZ;BÜLENT TOYDEMİR;M.DEMİROL;6;%5.26(8)  %4.54(8);80;1:32.50;12,50;
