Kocaeli;(2. Yarış Günü);21/04/2026
1. Kosu :   14.30;Handikap 14 /H2; 3 Yaşlı İngilizler; kg; 1400m; Kum;;;;Rekor Derece :1.23.67
İkramiye;;;;;Yetiştirici Primi;;;;
1.)400.000 TL;2.)160.000 TL;3.)80.000 TL;4.)40.000 TL;5.)20.000 TL;1.)72.000 TL;2.)28.800 TL;3.)14.400 TL;4.)7.200 TL;5.)3.600 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;KAREEM BUGHRA KG K DB GKR;3y d  e;TIZWAY (USA);STELLA ROSSA (IRE);57,5;U.LEVENT AP;MURAT ÖZENÇ;H.ALTUNBAŞ;10 - DS;%18.11(2);50;1:29.02;3,05;Boyun
2;NOBLE STORM KG K;3y a  e;VOODOO SONG (USA);GABBY'S HEN (USA);56 +1.00;E.ÇANKAYA;ZEHRA NAMLI;K.KORKMAZ;8;%23.23(1);41;1:29.06;3,15;1,5  Boy
3;MY REBELLIOUS GIRL K DB;3y d  d;KLIMT (USA);KERVANSARAYIN KIZI;55,5 +0.70;H.ÇİZİK;HALİL ÇANKAYA;Y.ÇANKAYA;7;%2.58(9);40;1:29.29;20,45;1,5  Boy
4;VENUS DOOM KG DB SK;3y a  e;TRAPPE SHOT (USA);GLASS PATH (USA);56;B.AKÇAY;AHMET VOLKAN SÜNTER;E.USLU;9;%11.35(5);41;1:29.52;6,40;Boyun
5;AGUA REGIA KG DB SK;3y a  e;KLIMT (USA);SCHNELLES;56;E.AKTUĞ;CELAL ŞENGİL;A.ALÇİÇEK;5;%12.39(4);41;1:29.56;6,05;
6;SİHİRLİ JOVANKA KG DB SK;3y d  d;GOOD CURRY;VICTORY BLUES;56,5;G.ÖZÇELİK;SONGÜL YILDIRIM;N.YILDIRIM;2;%6.24(7);42;1:29.95;8,25;
7;DESESPERADOS K;3y d  e;MENDIP (USA);HER LATEST FILM (USA);58,5;Ö.F.ÖZEN AP;GÜLİZAR YANIK;H.SUNKAR;6;%4.94(8);50;1:30.47;13,95;
8;GÜNÜN ASLANI DB SKG SK;3y d  e;MENDIP (USA);FOREVER;56,5;Ö.YILDIRIM;ALİ YILDIRIM;F.GARZAN;4;%7.26(6);42;1:30.58;10,05;
9;CERKO LIPA K SKG;3y d  d;BATTLEGROUND (USA);BLANEGIRL;50 +2.00;C.TEPE;GÜNEY YEGİN;H.ÇALIŞKAN;1;%0.71(10);25;1:32.27;34,70;
10;SWEET VICTORY KG K DB SK;3y a  e;VICTORY GALLOP (CAN);AFTER TULIP;56 +0.20;M.S.ÇELİK;ADNAN DOĞAN;M.A.CANPOLATLI;3;%13.2(3);41;1:33.32;6,50;
GANYAN(2) :3,05 TL, İKİLİ(2/7) :6,70 TL, SIRALI İKİLİ(2/7) :15,25 TL

2. Kosu :   15.00;ŞARTLI 4/DHÖW; 4 ve Yukarı Araplar; 57.50kg; 60.50 kg; 2000m; Kum;;;;Rekor Derece :2.19.59
İkramiye;;;;;Yetiştirici Primi;;;;
1.)490.000 TL;2.)196.000 TL;3.)98.000 TL;4.)49.000 TL;5.)24.500 TL;1.)88.200 TL;2.)35.280 TL;3.)17.640 TL;4.)8.820 TL;5.)4.410 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;VARLIK EFESİ KG DB SK;5y k  a;YILMABAŞAR;HANEDAN;60,5;Ö.YILDIRIM;MUHSİN KAĞDARIÇ;Y.ARSLANCA;1;%40.06(1);85;2:24.58;1,95;Boyun
2;SAĞLAMCAN KG K DB;6y a  a;ALTAHA;SEVDAMSIN CAN;60,5;A.YILDIZ;MUHARREM CAN;K.KINAY;8;%20.06(2);94;2:24.64;2,50;Yarım Boy
3;CANMETE KG DB;8y k  a;TAMERİNOĞLU;NENEHATUN;60,5;A.SÖZEN;BEDRİ AKBULUT;B.AKBULUT;4;%19.57(3);104;2:24.72;4,25;5 Boy
4;KARAKURT BEYİ;6y a  a;TURBO;İLK KIZ;56,5 +0.70;M.KAYA;A.SELÇUK LOKLAR;Ş.GÖKÇE;2;%14.45(4);84;2:25.48;5,40;7 Boy
5;LE PATRON KG SK;6y d  a;SAADIN GÜCÜ;BİLGEAT;53,5 +2.00;BERK.GÖKÇE AP;SELİM YILDIZ;T.ÖZTÜRK TİMUR;5;%0.57(6);82;2:26.52;12,90;
6;UFKUN ÖTESİ DB;5y a  a;UFUKBİR;NURTEN;53,5 +1.20;D.KONUK AP;KAYA KAYA;S.AKCI;6;%0.42(7);84;2:28.12;53,40;
7;SİYAH PENÇE DB SKG SK;5y d  a;ÖZHABER;DENİZMERYEM;56,5;E.AKTUĞ;SELİM YILDIZ;T.ÖZTÜRK TİMUR;3;%1.3(6);74;2:28.25;12,90;
8;BÜYÜK MACELAN KG ÖG;5y a  a;ÖZGÜNHAN;NECİBE;54 +2.00;M.KEÇECİ AP;GÖKHAN ALVEROĞLU;Y.DEMİRKIRAN;7;%3.57(5);71;2:34.90;15,10;
[(8)LE PATRON,(6)SİYAH PENÇE,] eküridir.GANYAN(3) :1,95 TL, İKİLİ(2/3) :3,25 TL, SIRALI İKİLİ(3/2) :6,60 TL, ÜÇLÜ BAHİS(3/2/1) :27,00 TL, PLASE(2) :1,45 TL, PLASE(3) :1,20 TL, 1. ÇİFTE(2/3) :9,05 TL

3. Kosu :   15.30;Handikap 16 /H2/Y2; 3 ve Yukarı İngilizler; kg; 1400m; Kum;;;;Rekor Derece :1.23.67
İkramiye;;;;;Yetiştirici Primi;;;;
1.)630.000 TL;2.)252.000 TL;3.)126.000 TL;4.)63.000 TL;5.)31.500 TL;1.)113.400 TL;2.)45.360 TL;3.)22.680 TL;4.)11.340 TL;5.)5.670 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
