İstanbul;(4. Yarış Günü);22/04/2026
1. Kosu :   14.00;Handikap 17 /H1; 3 ve Yukarı İngilizler; kg; 1400m; Sentetik;;;;Rekor Derece :1.22.22
İkramiye;;;;;Yetiştirici Primi;;;;
1.)795.000 TL;2.)318.000 TL;3.)159.000 TL;4.)79.500 TL;5.)39.750 TL;1.)190.800 TL;2.)76.320 TL;3.)38.160 TL;4.)19.080 TL;5.)9.540 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;STAR BLOOD KG K;4y d  a;SMART ROBIN (JPN);MERZUKA;55,5;G.KOCAKAYA;MEHMET TURNA;E.KARAKÖLEOĞLU;7;%46.56(1);67;1:23.33;1,70;2,5 Boy
2;FLY FOREVER KG K DB;4y d k;BODEMEISTER (USA);PRINCESS IZABEL;60;K.YILMAZ AP;EMRAH AGUN;N.ESEN;8 - DS;%9.61(3);82;1:23.69;7,55;3 Boy
3;CELEBRIMBOR DB SK;4y d  g;BLUEGRASS CAT (USA);PRECIOUS JEWEL;50 +2.00;M.BAYIR;CEM ÖZBELGE;T.İBİŞ;3;%19.35(2);51;1:24.05;3,25;Burun
4;PILOTS BOY SK;7y d  a;LION HEART (USA);ZEYNEPSU;60;M.KEÇECİ AP;HALDUN HAYRİ YALÇIN;Y.ÖZTAŞ;4;%7.46(5);78;1:24.06;8,45;4 Boy
5;ARAMİTH DB SK;4y d  a;BODYGUARD HERO (USA);KARAMELEK (USA);56,5;E.ÇİZİK;ÜMİT AKTAŞ;A.TEKDEMİR;5;%8.27(4);69;1:24.63;6,50;
6;COMING RAIN DB SK ÖG;4y d k;GOOD CURRY;NO DELUSION (USA);53,5;HAK.YILDIZ;HIDIR KAYA;E.KAYA;2;%1.7(8);63;1:24.94;27,85;
7;SİAN K DB;4y a  a;VICTOIRE PISA (JPN);TEXAS TEA;55,5 +0.30;G.ÖZÇELİK;GÜLİZAR YANIK;M.DOLAK;1;%2.18(7);67;1:25.24;16,80;
8;POLPOO DB SKG SK;7y d  a;TOROK (IRE);BEVERLY DANCER;62;A.SÖZEN;ZEKİ KILIÇ;M.BAYKARA;6;%4.87(6);78;1:25.77;9,85;
GANYAN(6) :1,70 TL, İKİLİ(1/6) :7,05 TL, SIRALI İKİLİ(6/1) :8,80 TL
