Diyarbakır;(2. Yarış Günü);25/04/2026
1. Kosu :   21.00;Handikap 15/Dişi /H3; 3 ve Yukarı İngilizler; kg; 1200m; Kum;;;;Rekor Derece :1.10.63
İkramiye;;;;;Yetiştirici Primi;;;;
1.)350.000 TL;2.)140.000 TL;3.)70.000 TL;4.)35.000 TL;5.)17.500 TL;1.)63.000 TL;2.)25.200 TL;3.)12.600 TL;4.)6.300 TL;5.)3.150 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;HENAIRE KG DB SK;5y d k;SMART ROBIN (JPN);CAMBODIA;57,5;E.AKKILIÇ;MEHMET ÇİZİK;T.ÇİZİK;2;%16.21(3);40;1:16.33;4,45;2,5 Boy
2;MY MOON KG SK;3y a  d;SADLER'S JOY (USA);LA REYNA;54,5 +1.00;F.YARDIMCI;M.SELİM GÜLEŞEN;Z.AKDEMİR;6;%30.16(1);51;1:16.70;1,95;5 Boy
3;BOHEMIA DB SK;4y d k;HEP BERABER;MAMUSELLA (IRE);61;A.AKDEMİR;FIRAT TEKİNALP;H.TEKİNALP;7;%6.05(6);49;1:17.44;19,65;Yarım Boy
4;ELİF IN MY HEART K DB;4y d k;INVINCIBLE SON (IRE);PURE GRACE (USA);60;N.ALTIN;SELAMİ ARSLAN;İ.ATMACA;8 - DS;%6.39(5);47;1:17.53;12,25;4,5 Boy
5;AY ÇÖLÜ KG DB SK;4y d k;ENYALIOS;KEBERLİ SULTANI;53,5 +2.00;Y.ÇELİKBAŞ;YUSUF ZİYA KARAKUŞ;M.A.SUBAY;3;%7.01(4);34;1:18.20;10,00;
6;TEZGAHTAR NEBAHAT KG K;4y d k;EUPRHATES (USA);KILAVUZ HATİCE;61;M.ŞAKİR AP;ABDULKADİR DURMAZ;A.BAĞIŞ;4;%5.01(7);53;1:18.22;16,70;
7;ARES CAT DB SKG SK;4y a k;COOGER;TORUNUM MİRA;58 +0.70;L.TAPTIK AP;ÜMİT AKTAŞ;EKR.YARDIMCI;9 - DS;%2.56(8);49;1:18.96;13,35;
8;MONOMOY GIRL SKG SK;4y d k;TRAPPE SHOT (USA);HAVAR;61;A.ÇANKAYA AP;MUSTAFA KORKMAZ;Z.AKDEMİR;1;%24.63(2);53;1:20.60;2,85;
9;HOT WARRIOR K DB SK;4y d k;HOT CHOCOLATE;NORTHERN WARRIOR;52 +2.00;Ç.CANPOLAT AP;SERDA TANDOĞAN KURU;O.GÖRMEZ;5;%1.97(9);31;1:24.62;30,70;
GANYAN(7) :4,45 TL, İKİLİ(2/7) :6,55 TL, SIRALI İKİLİ(7/2) :17,25 TL

2. Kosu :   21.30;Handikap 13/DHÖW /H3; 4 Yaşlı Araplar; kg; 1800m; Kum;;;;Rekor Derece :2.04.37
İkramiye;;;;;Yetiştirici Primi;;;;
1.)210.000 TL;2.)84.000 TL;3.)42.000 TL;4.)21.000 TL;5.)10.500 TL;1.)37.800 TL;2.)15.120 TL;3.)7.560 TL;4.)3.780 TL;5.)1.890 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;UMUDUM DENİZ KG SK;4y a  a;ALTINCI HİS;ASMİN KIZI;60;N.ALTIN;HELİN AKIL;F.E.AKIL;4;%17.22(2);30;2:18.39;3,30;Yarım Boy
2;MUTWAKEL KG DB SK;4y k  a;TAMERİNOĞLU;ÇİSEM;60,5;A.AKDEMİR;MÜSLÜM ŞİMŞEK;M.GÜMÜŞKOLAN;1;%27.35(1);31;2:18.52;2,20;6 Boy
3;ASIM EFE KG SK;4y a  a;HİSARBEY;NARTANEM;57;M.DOĞAN;NİHAT BAYDAN;İ.ATMACA;3;%15.26(3);24;2:19.45;4,65;1,5  Boy
4;HİSARLI KIZ KG K;4y a k;MERTADAM;CİLVELİ HİSAR;57 +0.20;E.AKKILIÇ;FERİT MENGİ;İ.ATMACA;5;%3.75(9);24;2:19.76;18,60;8,5 Boy
5;AZAT BABA KG SK;4y k  a;ANKA;NEŞVÜNEMA;60;Y.ÇELİKBAŞ;BÜLENT TOYDEMİR;İ.ATMACA;6;%7.79(4);30;2:21.46;5,80;
6;MUŞARDAĞI KG K;4y k  a;CAPPADOCIA;GÜNBATIMI;57,5;M.ŞAKİR AP;ALİ ÇİZİK;T.ÇİZİK;7;%5.96(6);29;2:25.68;9,50;
7;TOYPINAR KG K;4y k k;FATİH AĞA;İDAL SULTAN;54,5 +2.00;S.KAPLAN;ENVER TOYDEMİR;İ.ATMACA;9;%5.27(4);19;2:27.15;5,80;
8;İLATUN KG SK SGKR;4y k k;ANKA;FERAHGÜL;58 +0.10;Ç.CANPOLAT AP;AHMET TEKİN;B.DEMİRKAPU;10 - DS;%4.03(8);30;2:29.18;27,25;
9;AKALTUN BEYİ KG;4y k  a;AKARÇAY;GÜLSENUR;55 +2.00;H.ALTUNDAĞ;İSMAİL KOÇYİĞİT;A.ZENGİN;2;%4.6(7);20;2:32.24;16,60;
10;SARIYAZMALIM KG K DB GKR;4y a k;GELİBOLU;SARIYAZMA;58;A.H.BAYAR;CAN ÇAĞRI;T.ÇİZİK;11 - DS;%7.66(5);26;2:34.16;11,55;
11;YILMAZ RÜŞEN KG SK (Koşmaz);4y a  a;GÖĞEBAKAN;LEYLAKIZI;58,5;A.ÇANKAYA AP;CENGİZ ÇETİN;B.DEMİRKAPU;8;%1.11(10);31;Koşmaz;;
[(2)AZAT BABA,(8)TOYPINAR,] eküridir.GANYAN(4) :3,30 TL, İKİLİ(4/6) :5,35 TL, SIRALI İKİLİ(4/6) :16,60 TL, ÜÇLÜ BAHİS(4/6/9) :65,90 TL Çıkan 1 Atla: 10,70 TL, PLASE(4) :2,15 TL, PLASE(6) :1,85 TL, PLASE İKİLİ(4/6) :4,00 TL, PLASE İKİLİ(4/9) :3,50 TL, PLASE İKİLİ(6/9) :5,50 TL, 1. ÇİFTE(7/4) :29,90 TL

3. Kosu :   22.00;Handikap 14/DHÖW /H3; 4 ve Yukarı Araplar; kg; 1200m; Kum;;;;Rekor Derece :1.19.83
İkramiye;;;;;Yetiştirici Primi;;;;
1.)280.000 TL;2.)112.000 TL;3.)56.000 TL;4.)28.000 TL;5.)14.000 TL;1.)50.400 TL;2.)20.160 TL;3.)10.080 TL;4.)5.040 TL;5.)2.520 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;KASIRGA AĞASI;4y k  a;TEK YÜREK;KATI ÖSKAN;54,5 +1.10;A.AKDEMİR;ALİ SUSEN;İ.ATMACA;6;%15.78(3);26;1:25.18;7,20;22 Boy
2;KARYAĞDIRAN KG DB SK;5y a  a;EMBİR HAN;DEMİR ASİYE;60,5;A.ÇANKAYA AP;MEHMET EMİN ÇİZİK;T.ÇİZİK;3;%10.45(5);39;1:28.01;7,75;Boyun
3;KARA MAHO KG;4y k  a;SERHANTAY;ATEŞİN GÜCÜ;58;M.P.DEMİR AP;NÜSRET CANPOLAT;MEHM.KAYA;7;%5.93(8);37;1:28.06;12,10;1,5  Boy
4;AKGOLD DATÇA KG SK;5y k  a;AKARÇAY;SABAH YAĞMURU;63;H.ALTUNDAĞ;MEHMET EMİN AKBALIK;İ.ATMACA;8 - DS;%6.6(7);40;1:28.37;14,35;Yarım Boy
5;SON AKTAŞ KG;6y k  a;AKTAŞOĞLU;ARATHANIM;61,5;A.H.BAYAR;ADEM AKTAŞ;EKR.YARDIMCI;2;%12.32(4);37;1:28.48;2,70;
6;SERHANBATUR KG DB SK;6y k  a;SERHANTAY;KÜÇÜKEMİNE;63;N.ALTIN;FATMA KAN;E.AÇMAZ;1;%15.91(2);40;1:28.90;5,35;
7;CANROBİN KG;4y a  a;NASUHOĞLU;FERAYE;57,5 +1.00;L.TAPTIK AP;MEHMET DEMİRKAPI;E.AÇMAZ;5;%8.75(6);38;1:31.09;7,55;
8;AKSU KAAN SKG SK;4y k  a;DENİZİM;ZİYADE;57;M.ŞAKİR AP;SERKAN AKSU;O.GÖRMEZ;4;%24.26(1);35;1:36.40;2,65;
GANYAN(8) :7,20 TL, İKİLİ(4/8) :29,70 TL, SIRALI İKİLİ(8/4) :47,45 TL, ÜÇLÜ BAHİS(8/4/5) :699,70 TL, PLASE(4) :5,50 TL, PLASE(8) :1,85 TL, 2. ÇİFTE(4/8) :35,20 TL

4. Kosu :   22.30;ŞARTLI 19; 2 Yaşlı İngilizler; 57.00kg; 1000m; Kum;;;;Rekor Derece :1.05.31
İkramiye;;;;;Yetiştirici Primi;;;;
1.)395.000 TL;2.)158.000 TL;3.)79.000 TL;4.)39.500 TL;5.)19.750 TL;1.)118.500 TL;2.)47.400 TL;3.)23.700 TL;4.)11.850 TL;5.)5.925 TL;
