Bursa;(5. Yarış Günü);27/04/2026
1. Kosu :   14.00;ŞARTLI 4; 3 ve Yukarı İngilizler; 52.50kg; 60.00 kg; 61.00 kg; 1200m; Kum;;;;Rekor Derece :1.11.37
İkramiye;;;;;Yetiştirici Primi;;;;
1.)490.000 TL;2.)196.000 TL;3.)98.000 TL;4.)49.000 TL;5.)24.500 TL;1.)88.200 TL;2.)35.280 TL;3.)17.640 TL;4.)8.820 TL;5.)4.410 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;BORN TO RUN DB SK;5y d  a;BLUEGRASS CAT (USA);DISTORTRESS (USA);57;A.SÖZEN;BERKE SUNGUR;A.ÖZDENİZ;1;%63.52(1);90;1:12.47;1,40;6,5 Boy
2;SUPER CHIRON DB SK;5y k  a;GRAYSTORM;HECTORINE;57 +0.10;B.AKÇAY;YUSUF EREN AKSU;HÜS.KARABULUT;2;%3.53(4);86;1:13.69;10,15;4 Boy
3;OBRADA KG DB SKG SK ÖG;11y a  g;LION HEART (USA);MAMMA MIA;61;A.MEH.ALTIN AP;İZZET ÖZEN;S.C.GÖZÜNGÜ;3;%10.31(3);93;1:14.45;4,15;1,5  Boy
4;BEST OF ROCK DB SK;7y d  a;MENDIP (USA);GOLDEN PIE;57;O.ATMACA;HASAN ALTUNBAŞ;HÜS.KARABULUT;5;%0.99(6);52;1:14.67;15,05;5 Boy
5;ÇİKOK AĞA KG K DB GKR;5y a  a;LION KING;ÇİKOK ŞÖVGEN;57 +0.10;T.YILDIZ;EROL ÇOKLAR;R.DEMİRDOĞAN;4;%3.35(5);72;1:15.67;8,50;
6;HEY JUDE KG DB SK;6y d  a;PAPA CLEM (USA);MYTH AND MAGIC (IRE);58 +0.30;H.ŞİMŞEK;İLKER ÇAPOĞLU;At Sahibi;6 - DS;%18.3(2);88;1:16.23;3,75;
GANYAN(4) :1,40 TL, SIRALI İKİLİ(4/6) :9,05 TL

2. Kosu :   14.30;Handikap 16 /H2; 3 Yaşlı İngilizler; kg; 1800m; Kum;;;;Rekor Derece :1.53.11
İkramiye;;;;;Yetiştirici Primi;;;;
1.)630.000 TL;2.)252.000 TL;3.)126.000 TL;4.)63.000 TL;5.)31.500 TL;1.)113.400 TL;2.)45.360 TL;3.)22.680 TL;4.)11.340 TL;5.)5.670 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;KARA BERELİ K;3y d  e;COOGER;FRENCH FAIRY (IRE);57,5;M.ÇİÇEK;ERAY HAZAR;M.TÜRKOĞLU;2;%64.96(1);61;1:55.86;1,20;3 Boy
2;BEYLERİNBEYİ SKG SK;3y d  e;NOBEL PRIZE (IRE);EBRU QUEEN;55,5 +1.00;M.KAYA;KEMAL ALTIN;N.KAYA;1;%20.88(2);57;1:56.43;2,60;1 Boy
